"Notes","MMWR Week","MMWR Week Code","Residence State","Residence State Code",Deaths,Population,Crude Rate
,"2018 Week 02 ending January 13, 2018","2018/02","Utah","49",66,Not Applicable,Not Applicable
,"2018 Week 02 ending January 13, 2018","2018/02","Vermont","50",27,Not Applicable,Not Applicable
,"2018 Week 02 ending January 13, 2018","2018/02","Virginia","51",323,Not Applicable,Not Applicable
,"2018 Week 02 ending January 13, 2018","2018/02","Washington","53",223,Not Applicable,Not Applicable
,"2018 Week 02 ending January 13, 2018","2018/02","West Virginia","54",115,Not Applicable,Not Applicable
,"2018 Week 02 ending January 13, 2018","2018/02","Wisconsin","55",210,Not Applicable,Not Applicable
,"2018 Week 02 ending January 13, 2018","2018/02","Wyoming","56",11,Not Applicable,Not Applicable
,"2018 Week 03 ending January 20, 2018","2018/03","Alabama","01",293,Not Applicable,Not Applicable
,"2018 Week 03 ending January 20, 2018","2018/03","Alaska","02",11,Not Applicable,Not Applicable
,"2018 Week 03 ending January 20, 2018","2018/03","Arizona","04",250,Not Applicable,Not Applicable
,"2018 Week 03 ending January 20, 2018","2018/03","Arkansas","05",160,Not Applicable,Not Applicable
,"2018 Week 03 ending January 20, 2018","2018/03","California","06",1110,Not Applicable,Not Applicable
,"2018 Week 03 ending January 20, 2018","2018/03","Colorado","08",139,Not Applicable,Not Applicable
,"2018 Week 03 ending January 20, 2018","2018/03","Connecticut","09",98,Not Applicable,Not Applicable
,"2018 Week 03 ending January 20, 2018","2018/03","Delaware","10",44,Not Applicable,Not Applicable
,"2018 Week 03 ending January 20, 2018","2018/03","District of Columbia","11",20,Not Applicable,Not Applicable
,"2018 Week 03 ending January 20, 2018","2018/03","Florida","12",890,Not Applicable,Not Applicable
,"2018 Week 03 ending January 20, 2018","2018/03","Georgia","13",417,Not Applicable,Not Applicable
,"2018 Week 03 ending January 20, 2018","2018/03","Hawaii","15",44,Not Applicable,Not Applicable
,"2018 Week 03 ending January 20, 2018","2018/03","Idaho","16",43,Not Applicable,Not Applicable
,"2018 Week 03 ending January 20, 2018","2018/03","Illinois","17",436,Not Applicable,Not Applicable
,"2018 Week 03 ending January 20, 2018","2018/03","Indiana","18",281,Not Applicable,Not Applicable
,"2018 Week 03 ending January 20, 2018","2018/03","Iowa","19",124,Not Applicable,Not Applicable
,"2018 Week 03 ending January 20, 2018","2018/03","Kansas","20",100,Not Applicable,Not Applicable
,"2018 Week 03 ending January 20, 2018","2018/03","Kentucky","21",245,Not Applicable,Not Applicable
,"2018 Week 03 ending January 20, 2018","2018/03","Louisiana","22",247,Not Applicable,Not Applicable
,"2018 Week 03 ending January 20, 2018","2018/03","Maine","23",59,Not Applicable,Not Applicable
,"2018 Week 03 ending January 20, 2018","2018/03","Maryland","24",195,Not Applicable,Not Applicable
,"2018 Week 03 ending January 20, 2018","2018/03","Massachusetts","25",221,Not Applicable,Not Applicable
,"2018 Week 03 ending January 20, 2018","2018/03","Michigan","26",412,Not Applicable,Not Applicable
,"2018 Week 03 ending January 20, 2018","2018/03","Minnesota","27",173,Not Applicable,Not Applicable
,"2018 Week 03 ending January 20, 2018","2018/03","Mississippi","28",166,Not Applicable,Not Applicable
,"2018 Week 03 ending January 20, 2018","2018/03","Missouri","29",289,Not Applicable,Not Applicable
,"2018 Week 03 ending January 20, 2018","2018/03","Montana","30",34,Not Applicable,Not Applicable
,"2018 Week 03 ending January 20, 2018","2018/03","Nebraska","31",76,Not Applicable,Not Applicable
,"2018 Week 03 ending January 20, 2018","2018/03","Nevada","32",113,Not Applicable,Not Applicable
,"2018 Week 03 ending January 20, 2018","2018/03","New Hampshire","33",50,Not Applicable,Not Applicable
,"2018 Week 03 ending January 20, 2018","2018/03","New Jersey","34",273,Not Applicable,Not Applicable
,"2018 Week 03 ending January 20, 2018","2018/03","New Mexico","35",68,Not Applicable,Not Applicable
,"2018 Week 03 ending January 20, 2018","2018/03","New York","36",579,Not Applicable,Not Applicable
,"2018 Week 03 ending January 20, 2018","2018/03","North Carolina","37",402,Not Applicable,Not Applicable
,"2018 Week 03 ending January 20, 2018","2018/03","North Dakota","38",19,Not Applicable,Not Applicable
,"2018 Week 03 ending January 20, 2018","2018/03","Ohio","39",538,Not Applicable,Not Applicable
,"2018 Week 03 ending January 20, 2018","2018/03","Oklahoma","40",196,Not Applicable,Not Applicable
,"2018 Week 03 ending January 20, 2018","2018/03","Oregon","41",160,Not Applicable,Not Applicable
,"2018 Week 03 ending January 20, 2018","2018/03","Pennsylvania","42",530,Not Applicable,Not Applicable
,"2018 Week 03 ending January 20, 2018","2018/03","Rhode Island","44",35,Not Applicable,Not Applicable
,"2018 Week 03 ending January 20, 2018","2018/03","South Carolina","45",246,Not Applicable,Not Applicable
,"2018 Week 03 ending January 20, 2018","2018/03","South Dakota","46",28,Not Applicable,Not Applicable
,"2018 Week 03 ending January 20, 2018","2018/03","Tennessee","47",337,Not Applicable,Not Applicable
,"2018 Week 03 ending January 20, 2018","2018/03","Texas","48",942,Not Applicable,Not Applicable
,"2018 Week 03 ending January 20, 2018","2018/03","Utah","49",62,Not Applicable,Not Applicable
,"2018 Week 03 ending January 20, 2018","2018/03","Vermont","50",19,Not Applicable,Not Applicable
,"2018 Week 03 ending January 20, 2018","2018/03","Virginia","51",290,Not Applicable,Not Applicable
,"2018 Week 03 ending January 20, 2018","2018/03","Washington","53",242,Not Applicable,Not Applicable
,"2018 Week 03 ending January 20, 2018","2018/03","West Virginia","54",121,Not Applicable,Not Applicable
,"2018 Week 03 ending January 20, 2018","2018/03","Wisconsin","55",239,Not Applicable,Not Applicable
,"2018 Week 03 ending January 20, 2018","2018/03","Wyoming","56",22,Not Applicable,Not Applicable
,"2018 Week 04 ending January 27, 2018","2018/04","Alabama","01",292,Not Applicable,Not Applicable
,"2018 Week 04 ending January 27, 2018","2018/04","Alaska","02",19,Not Applicable,Not Applicable
,"2018 Week 04 ending January 27, 2018","2018/04","Arizona","04",239,Not Applicable,Not Applicable
,"2018 Week 04 ending January 27, 2018","2018/04","Arkansas","05",146,Not Applicable,Not Applicable
,"2018 Week 04 ending January 27, 2018","2018/04","California","06",1008,Not Applicable,Not Applicable
,"2018 Week 04 ending January 27, 2018","2018/04","Colorado","08",157,Not Applicable,Not Applicable
,"2018 Week 04 ending January 27, 2018","2018/04","Connecticut","09",92,Not Applicable,Not Applicable
,"2018 Week 04 ending January 27, 2018","2018/04","Delaware","10",36,Not Applicable,Not Applicable
,"2018 Week 04 ending January 27, 2018","2018/04","District of Columbia","11",19,Not Applicable,Not Applicable
,"2018 Week 04 ending January 27, 2018","2018/04","Florida","12",811,Not Applicable,Not Applicable
,"2018 Week 04 ending January 27, 2018","2018/04","Georgia","13",437,Not Applicable,Not Applicable
,"2018 Week 04 ending January 27, 2018","2018/04","Hawaii","15",38,Not Applicable,Not Applicable
,"2018 Week 04 ending January 27, 2018","2018/04","Idaho","16",54,Not Applicable,Not Applicable
,"2018 Week 04 ending January 27, 2018","2018/04","Illinois","17",459,Not Applicable,Not Applicable
,"2018 Week 04 ending January 27, 2018","2018/04","Indiana","18",254,Not Applicable,Not Applicable
,"2018 Week 04 ending January 27, 2018","2018/04","Iowa","19",101,Not Applicable,Not Applicable
,"2018 Week 04 ending January 27, 2018","2018/04","Kansas","20",101,Not Applicable,Not Applicable
