"Notes"	"Month"	"Month Code"	"State"	"State Code"	Deaths	Population	Crude Rate
	"Apr., 1999"	"1999/04"	"Arizona"	"04"	434	Not Applicable	Not Applicable
	"Apr., 1999"	"1999/04"	"Arkansas"	"05"	320	Not Applicable	Not Applicable
	"Apr., 1999"	"1999/04"	"California"	"06"	2601	Not Applicable	Not Applicable
	"Apr., 1999"	"1999/04"	"Colorado"	"08"	288	Not Applicable	Not Applicable
	"Apr., 1999"	"1999/04"	"Connecticut"	"09"	262	Not Applicable	Not Applicable
	"Apr., 1999"	"1999/04"	"Delaware"	"10"	80	Not Applicable	Not Applicable
	"Apr., 1999"	"1999/04"	"District of Columbia"	"11"	94	Not Applicable	Not Applicable
	"Apr., 1999"	"1999/04"	"Florida"	"12"	1529	Not Applicable	Not Applicable
	"Apr., 1999"	"1999/04"	"Georgia"	"13"	901	Not Applicable	Not Applicable
	"Apr., 1999"	"1999/04"	"Hawaii"	"15"	111	Not Applicable	Not Applicable
	"Apr., 1999"	"1999/04"	"Idaho"	"16"	88	Not Applicable	Not Applicable
	"Apr., 1999"	"1999/04"	"Illinois"	"17"	1099	Not Applicable	Not Applicable
	"Apr., 1999"	"1999/04"	"Indiana"	"18"	562	Not Applicable	Not Applicable
	"Apr., 1999"	"1999/04"	"Iowa"	"19"	188	Not Applicable	Not Applicable
	"Apr., 1999"	"1999/04"	"Kansas"	"20"	215	Not Applicable	Not Applicable
	"Apr., 1999"	"1999/04"	"Kentucky"	"21"	424	Not Applicable	Not Applicable
	"Apr., 1999"	"1999/04"	"Louisiana"	"22"	505	Not Applicable	Not Applicable
	"Apr., 1999"	"1999/04"	"Maine"	"23"	97	Not Applicable	Not Applicable
	"Apr., 1999"	"1999/04"	"Maryland"	"24"	521	Not Applicable	Not Applicable
	"Apr., 1999"	"1999/04"	"Massachusetts"	"25"	455	Not Applicable	Not Applicable
	"Apr., 1999"	"1999/04"	"Michigan"	"26"	933	Not Applicable	Not Applicable
	"Apr., 1999"	"1999/04"	"Minnesota"	"27"	317	Not Applicable	Not Applicable
	"Apr., 1999"	"1999/04"	"Mississippi"	"28"	313	Not Applicable	Not Applicable
	"Apr., 1999"	"1999/04"	"Missouri"	"29"	527	Not Applicable	Not Applicable
	"Apr., 1999"	"1999/04"	"Montana"	"30"	76	Not Applicable	Not Applicable
	"Apr., 1999"	"1999/04"	"Nebraska"	"31"	120	Not Applicable	Not Applicable
	"Apr., 1999"	"1999/04"	"Nevada"	"32"	198	Not Applicable	Not Applicable
	"Apr., 1999"	"1999/04"	"New Hampshire"	"33"	100	Not Applicable	Not Applicable
	"Apr., 1999"	"1999/04"	"New Jersey"	"34"	757	Not Applicable	Not Applicable
	"Apr., 1999"	"1999/04"	"New Mexico"	"35"	149	Not Applicable	Not Applicable
	"Apr., 1999"	"1999/04"	"New York"	"36"	1671	Not Applicable	Not Applicable
	"Apr., 1999"	"1999/04"	"North Carolina"	"37"	820	Not Applicable	Not Applicable
	"Apr., 1999"	"1999/04"	"North Dakota"	"38"	42	Not Applicable	Not Applicable
	"Apr., 1999"	"1999/04"	"Ohio"	"39"	1083	Not Applicable	Not Applicable
	"Apr., 1999"	"1999/04"	"Oklahoma"	"40"	389	Not Applicable	Not Applicable
	"Apr., 1999"	"1999/04"	"Oregon"	"41"	315	Not Applicable	Not Applicable
	"Apr., 1999"	"1999/04"	"Pennsylvania"	"42"	1081	Not Applicable	Not Applicable
	"Apr., 1999"	"1999/04"	"Rhode Island"	"44"	69	Not Applicable	Not Applicable
	"Apr., 1999"	"1999/04"	"South Carolina"	"45"	487	Not Applicable	Not Applicable
	"Apr., 1999"	"1999/04"	"South Dakota"	"46"	56	Not Applicable	Not Applicable
	"Apr., 1999"	"1999/04"	"Tennessee"	"47"	647	Not Applicable	Not Applicable
	"Apr., 1999"	"1999/04"	"Texas"	"48"	1761	Not Applicable	Not Applicable
	"Apr., 1999"	"1999/04"	"Utah"	"49"	129	Not Applicable	Not Applicable
	"Apr., 1999"	"1999/04"	"Vermont"	"50"	53	Not Applicable	Not Applicable
	"Apr., 1999"	"1999/04"	"Virginia"	"51"	655	Not Applicable	Not Applicable
	"Apr., 1999"	"1999/04"	"Washington"	"53"	459	Not Applicable	Not Applicable
	"Apr., 1999"	"1999/04"	"West Virginia"	"54"	210	Not Applicable	Not Applicable
	"Apr., 1999"	"1999/04"	"Wisconsin"	"55"	360	Not Applicable	Not Applicable
	"Apr., 1999"	"1999/04"	"Wyoming"	"56"	45	Not Applicable	Not Applicable
"Total"	"Apr., 1999"	"1999/04"			25201	Not Applicable	Not Applicable
	"May, 1999"	"1999/05"	"Alabama"	"01"	557	Not Applicable	Not Applicable
	"May, 1999"	"1999/05"	"Alaska"	"02"	44	Not Applicable	Not Applicable
	"May, 1999"	"1999/05"	"Arizona"	"04"	461	Not Applicable	Not Applicable
	"May, 1999"	"1999/05"	"Arkansas"	"05"	332	Not Applicable	Not Applicable
	"May, 1999"	"1999/05"	"California"	"06"	2586	Not Applicable	Not Applicable
	"May, 1999"	"1999/05"	"Colorado"	"08"	306	Not Applicable	Not Applicable
	"May, 1999"	"1999/05"	"Connecticut"	"09"	259	Not Applicable	Not Applicable
	"May, 1999"	"1999/05"	"Delaware"	"10"	68	Not Applicable	Not Applicable
	"May, 1999"	"1999/05"	"District of Columbia"	"11"	98	Not Applicable	Not Applicable
	"May, 1999"	"1999/05"	"Florida"	"12"	1568	Not Applicable	Not Applicable
	"May, 1999"	"1999/05"	"Georgia"	"13"	890	Not Applicable	Not Applicable
	"May, 1999"	"1999/05"	"Hawaii"	"15"	88	Not Applicable	Not Applicable
	"May, 1999"	"1999/05"	"Idaho"	"16"	108	Not Applicable	Not Applicable
	"May, 1999"	"1999/05"	"Illinois"	"17"	1112	Not Applicable	Not Applicable
	"May, 1999"	"1999/05"	"Indiana"	"18"	595	Not Applicable	Not Applicable
	"May, 1999"	"1999/05"	"Iowa"	"19"	185	Not Applicable	Not Applicable
	"May, 1999"	"1999/05"	"Kansas"	"20"	185	Not Applicable	Not Applicable
	"May, 1999"	"1999/05"	"Kentucky"	"21"	440	Not Applicable	Not Applicable
	"May, 1999"	"1999/05"	"Louisiana"	"22"	527	Not Applicable	Not Applicable
	"May, 1999"	"1999/05"	"Maine"	"23"	109	Not Applicable	Not Applicable
	"May, 1999"	"1999/05"	"Maryland"	"24"	539	Not Applicable	Not Applicable
	"May, 1999"	"1999/05"	"Massachusetts"	"25"	483	Not Applicable	Not Applicable
	"May, 1999"	"1999/05"	"Michigan"	"26"	968	Not Applicable	Not Applicable
	"May, 1999"	"1999/05"	"Minnesota"	"27"	337	Not Applicable	Not Applicable
	"May, 1999"	"1999/05"	"Mississippi"	"28"	379	Not Applicable	Not Applicable
	"May, 1999"	"1999/05"	"Missouri"	"29"	565	Not Applicable	Not Applicable
	"May, 1999"	"1999/05"	"Montana"	"30"	81	Not Applicable	Not Applicable
	"May, 1999"	"1999/05"	"Nebraska"	"31"	147	Not Applicable	Not Applicable
	"May, 1999"	"1999/05"	"Nevada"	"32"	204	Not Applicable	Not Applicable
	"May, 1999"	"1999/05"	"New Hampshire"	"33"	87	Not Applicable	Not Applicable
	"May, 1999"	"1999/05"	"New Jersey"	"34"	784	Not Applicable	Not Applicable
	"May, 1999"	"1999/05"	"New Mexico"	"35"	160	Not Applicable	Not Applicable
	"May, 1999"	"1999/05"	"New York"	"36"	1723	Not Applicable	Not Applicable
	"May, 1999"	"1999/05"	"North Carolina"	"37"	840	Not Applicable	Not Applicable
	"May, 1999"	"1999/05"	"North Dakota"	"38"	44	Not Applicable	Not Applicable
	"May, 1999"	"1999/05"	"Ohio"	"39"	1074	Not Applicable	Not Applicable
	"May, 1999"	"1999/05"	"Oklahoma"	"40"	371	Not Applicable	Not Applicable
	"May, 1999"	"1999/05"	"Oregon"	"41"	261	Not Applicable	Not Applicable
	"May, 1999"	"1999/05"	"Pennsylvania"	"42"	1150	Not Applicable	Not Applicable
	"May, 1999"	"1999/05"	"Rhode Island"	"44"	56	Not Applicable	Not Applicable
	"May, 1999"	"1999/05"	"South Carolina"	"45"	494	Not Applicable	Not Applicable
	"May, 1999"	"1999/05"	"South Dakota"	"46"	56	Not Applicable	Not Applicable
	"May, 1999"	"1999/05"	"Tennessee"	"47"	657	Not Applicable	Not Applicable
	"May, 1999"	"1999/05"	"Texas"	"48"	1786	Not Applicable	Not Applicable
	"May, 1999"	"1999/05"	"Utah"	"49"	114	Not Applicable	Not Applicable
	"May, 1999"	"1999/05"	"Vermont"	"50"	45	Not Applicable	Not Applicable
	"May, 1999"	"1999/05"	"Virginia"	"51"	705	Not Applicable	Not Applicable
	"May, 1999"	"1999/05"	"Washington"	"53"	436	Not Applicable	Not Applicable
	"May, 1999"	"1999/05"	"West Virginia"	"54"	207	Not Applicable	Not Applicable
	"May, 1999"	"1999/05"	"Wisconsin"	"55"	383	Not Applicable	Not Applicable
	"May, 1999"	"1999/05"	"Wyoming"	"56"	43	Not Applicable	Not Applicable
"Total"	"May, 1999"	"1999/05"			25697	Not Applicable	Not Applicable
	"Jun., 1999"	"1999/06"	"Alabama"	"01"	529	Not Applicable	Not Applicable
	"Jun., 1999"	"1999/06"	"Alaska"	"02"	48	Not Applicable	Not Applicable
	"Jun., 1999"	"1999/06"	"Arizona"	"04"	410	Not Applicable	Not Applicable
	"Jun., 1999"	"1999/06"	"Arkansas"	"05"	247	Not Applicable	Not Applicable
	"Jun., 1999"	"1999/06"	"California"	"06"	2506	Not Applicable	Not Applicable
	"Jun., 1999"	"1999/06"	"Colorado"	"08"	296	Not Applicable	Not Applicable
	"Jun., 1999"	"1999/06"	"Connecticut"	"09"	233	Not Applicable	Not Applicable
	"Jun., 1999"	"1999/06"	"Delaware"	"10"	70	Not Applicable	Not Applicable
	"Jun., 1999"	"1999/06"	"District of Columbia"	"11"	93	Not Applicable	Not Applicable
	"Jun., 1999"	"1999/06"	"Florida"	"12"	1527	Not Applicable	Not Applicable
	"Jun., 1999"	"1999/06"	"Georgia"	"13"	852	Not Applicable	Not Applicable
	"Jun., 1999"	"1999/06"	"Hawaii"	"15"	74	Not Applicable	Not Applicable
	"Jun., 1999"	"1999/06"	"Idaho"	"16"	84	Not Applicable	Not Applicable
	"Jun., 1999"	"1999/06"	"Illinois"	"17"	1116	Not Applicable	Not Applicable
	"Jun., 1999"	"1999/06"	"Indiana"	"18"	490	Not Applicable	Not Applicable
	"Jun., 1999"	"1999/06"	"Iowa"	"19"	185	Not Applicable	Not Applicable
	"Jun., 1999"	"1999/06"	"Kansas"	"20"	228	Not Applicable	Not Applicable
	"Jun., 1999"	"1999/06"	"Kentucky"	"21"	405	Not Applicable	Not Applicable
	"Jun., 1999"	"1999/06"	"Louisiana"	"22"	486	Not Applicable	Not Applicable
	"Jun., 1999"	"1999/06"	"Maine"	"23"	94	Not Applicable	Not Applicable
	"Jun., 1999"	"1999/06"	"Maryland"	"24"	515	Not Applicable	Not Applicable
	"Jun., 1999"	"1999/06"	"Massachusetts"	"25"	468	Not Applicable	Not Applicable
	"Jun., 1999"	"1999/06"	"Michigan"	"26"	954	Not Applicable	Not Applicable
	"Jun., 1999"	"1999/06"	"Minnesota"	"27"	296	Not Applicable	Not Applicable
	"Jun., 1999"	"1999/06"	"Mississippi"	"28"	333	Not Applicable	Not Applicable
	"Jun., 1999"	"1999/06"	"Missouri"	"29"	506	Not Applicable	Not Applicable
	"Jun., 1999"	"1999/06"	"Montana"	"30"	71	Not Applicable	Not Applicable
	"Jun., 1999"	"1999/06"	"Nebraska"	"31"	106	Not Applicable	Not Applicable
	"Jun., 1999"	"1999/06"	"Nevada"	"32"	216	Not Applicable	Not Applicable
	"Jun., 1999"	"1999/06"	"New Hampshire"	"33"	67	Not Applicable	Not Applicable
	"Jun., 1999"	"1999/06"	"New Jersey"	"34"	743	Not Applicable	Not Applicable
	"Jun., 1999"	"1999/06"	"New Mexico"	"35"	166	Not Applicable	Not Applicable
	"Jun., 1999"	"1999/06"	"New York"	"36"	1633	Not Applicable	Not Applicable
	"Jun., 1999"	"1999/06"	"North Carolina"	"37"	772	Not Applicable	Not Applicable
	"Jun., 1999"	"1999/06"	"North Dakota"	"38"	57	Not Applicable	Not Applicable
	"Jun., 1999"	"1999/06"	"Ohio"	"39"	1033	Not Applicable	Not Applicable
	"Jun., 1999"	"1999/06"	"Oklahoma"	"40"	359	Not Applicable	Not Applicable
	"Jun., 1999"	"1999/06"	"Oregon"	"41"	296	Not Applicable	Not Applicable
	"Jun., 1999"	"1999/06"	"Pennsylvania"	"42"	1144	Not Applicable	Not Applicable
	"Jun., 1999"	"1999/06"	"Rhode Island"	"44"	77	Not Applicable	Not Applicable
	"Jun., 1999"	"1999/06"	"South Carolina"	"45"	453	Not Applicable	Not Applicable
	"Jun., 1999"	"1999/06"	"South Dakota"	"46"	65	Not Applicable	Not Applicable
	"Jun., 1999"	"1999/06"	"Tennessee"	"47"	646	Not Applicable	Not Applicable
	"Jun., 1999"	"1999/06"	"Texas"	"48"	1783	Not Applicable	Not Applicable
	"Jun., 1999"	"1999/06"	"Utah"	"49"	118	Not Applicable	Not Applicable
	"Jun., 1999"	"1999/06"	"Vermont"	"50"	60	Not Applicable	Not Applicable
	"Jun., 1999"	"1999/06"	"Virginia"	"51"	617	Not Applicable	Not Applicable
