"Notes"	"MMWR Week"	"MMWR Week Code"	"Residence State"	"Residence State Code"	Deaths	Population	Crude Rate
	"2018 Week 02 ending January 13, 2018"	"2018/02"	"Vermont"	"50"	137	Not Applicable	Not Applicable
	"2018 Week 02 ending January 13, 2018"	"2018/02"	"Virginia"	"51"	1471	Not Applicable	Not Applicable
	"2018 Week 02 ending January 13, 2018"	"2018/02"	"Washington"	"53"	1242	Not Applicable	Not Applicable
	"2018 Week 02 ending January 13, 2018"	"2018/02"	"West Virginia"	"54"	548	Not Applicable	Not Applicable
	"2018 Week 02 ending January 13, 2018"	"2018/02"	"Wisconsin"	"55"	1114	Not Applicable	Not Applicable
	"2018 Week 02 ending January 13, 2018"	"2018/02"	"Wyoming"	"56"	85	Not Applicable	Not Applicable
"Total"	"2018 Week 02 ending January 13, 2018"	"2018/02"			63778	Not Applicable	Not Applicable
	"2018 Week 03 ending January 20, 2018"	"2018/03"	"Alabama"	"01"	1220	Not Applicable	Not Applicable
	"2018 Week 03 ending January 20, 2018"	"2018/03"	"Alaska"	"02"	92	Not Applicable	Not Applicable
	"2018 Week 03 ending January 20, 2018"	"2018/03"	"Arizona"	"04"	1274	Not Applicable	Not Applicable
	"2018 Week 03 ending January 20, 2018"	"2018/03"	"Arkansas"	"05"	737	Not Applicable	Not Applicable
	"2018 Week 03 ending January 20, 2018"	"2018/03"	"California"	"06"	5986	Not Applicable	Not Applicable
	"2018 Week 03 ending January 20, 2018"	"2018/03"	"Colorado"	"08"	775	Not Applicable	Not Applicable
	"2018 Week 03 ending January 20, 2018"	"2018/03"	"Connecticut"	"09"	643	Not Applicable	Not Applicable
	"2018 Week 03 ending January 20, 2018"	"2018/03"	"Delaware"	"10"	197	Not Applicable	Not Applicable
	"2018 Week 03 ending January 20, 2018"	"2018/03"	"District of Columbia"	"11"	94	Not Applicable	Not Applicable
	"2018 Week 03 ending January 20, 2018"	"2018/03"	"Florida"	"12"	4397	Not Applicable	Not Applicable
	"2018 Week 03 ending January 20, 2018"	"2018/03"	"Georgia"	"13"	1824	Not Applicable	Not Applicable
	"2018 Week 03 ending January 20, 2018"	"2018/03"	"Hawaii"	"15"	220	Not Applicable	Not Applicable
	"2018 Week 03 ending January 20, 2018"	"2018/03"	"Idaho"	"16"	254	Not Applicable	Not Applicable
	"2018 Week 03 ending January 20, 2018"	"2018/03"	"Illinois"	"17"	2397	Not Applicable	Not Applicable
	"2018 Week 03 ending January 20, 2018"	"2018/03"	"Indiana"	"18"	1440	Not Applicable	Not Applicable
	"2018 Week 03 ending January 20, 2018"	"2018/03"	"Iowa"	"19"	623	Not Applicable	Not Applicable
	"2018 Week 03 ending January 20, 2018"	"2018/03"	"Kansas"	"20"	585	Not Applicable	Not Applicable
	"2018 Week 03 ending January 20, 2018"	"2018/03"	"Kentucky"	"21"	1013	Not Applicable	Not Applicable
	"2018 Week 03 ending January 20, 2018"	"2018/03"	"Louisiana"	"22"	1094	Not Applicable	Not Applicable
	"2018 Week 03 ending January 20, 2018"	"2018/03"	"Maine"	"23"	281	Not Applicable	Not Applicable
	"2018 Week 03 ending January 20, 2018"	"2018/03"	"Maryland"	"24"	1034	Not Applicable	Not Applicable
	"2018 Week 03 ending January 20, 2018"	"2018/03"	"Massachusetts"	"25"	1238	Not Applicable	Not Applicable
	"2018 Week 03 ending January 20, 2018"	"2018/03"	"Michigan"	"26"	2105	Not Applicable	Not Applicable
	"2018 Week 03 ending January 20, 2018"	"2018/03"	"Minnesota"	"27"	977	Not Applicable	Not Applicable
	"2018 Week 03 ending January 20, 2018"	"2018/03"	"Mississippi"	"28"	708	Not Applicable	Not Applicable
	"2018 Week 03 ending January 20, 2018"	"2018/03"	"Missouri"	"29"	1527	Not Applicable	Not Applicable
	"2018 Week 03 ending January 20, 2018"	"2018/03"	"Montana"	"30"	173	Not Applicable	Not Applicable
	"2018 Week 03 ending January 20, 2018"	"2018/03"	"Nebraska"	"31"	370	Not Applicable	Not Applicable
	"2018 Week 03 ending January 20, 2018"	"2018/03"	"Nevada"	"32"	504	Not Applicable	Not Applicable
	"2018 Week 03 ending January 20, 2018"	"2018/03"	"New Hampshire"	"33"	230	Not Applicable	Not Applicable
	"2018 Week 03 ending January 20, 2018"	"2018/03"	"New Jersey"	"34"	1566	Not Applicable	Not Applicable
	"2018 Week 03 ending January 20, 2018"	"2018/03"	"New Mexico"	"35"	413	Not Applicable	Not Applicable
	"2018 Week 03 ending January 20, 2018"	"2018/03"	"New York"	"36"	3277	Not Applicable	Not Applicable
	"2018 Week 03 ending January 20, 2018"	"2018/03"	"North Carolina"	"37"	1954	Not Applicable	Not Applicable
	"2018 Week 03 ending January 20, 2018"	"2018/03"	"North Dakota"	"38"	131	Not Applicable	Not Applicable
	"2018 Week 03 ending January 20, 2018"	"2018/03"	"Ohio"	"39"	2727	Not Applicable	Not Applicable
	"2018 Week 03 ending January 20, 2018"	"2018/03"	"Oklahoma"	"40"	919	Not Applicable	Not Applicable
	"2018 Week 03 ending January 20, 2018"	"2018/03"	"Oregon"	"41"	758	Not Applicable	Not Applicable
	"2018 Week 03 ending January 20, 2018"	"2018/03"	"Pennsylvania"	"42"	2870	Not Applicable	Not Applicable
	"2018 Week 03 ending January 20, 2018"	"2018/03"	"Rhode Island"	"44"	198	Not Applicable	Not Applicable
	"2018 Week 03 ending January 20, 2018"	"2018/03"	"South Carolina"	"45"	1054	Not Applicable	Not Applicable
	"2018 Week 03 ending January 20, 2018"	"2018/03"	"South Dakota"	"46"	165	Not Applicable	Not Applicable
	"2018 Week 03 ending January 20, 2018"	"2018/03"	"Tennessee"	"47"	1562	Not Applicable	Not Applicable
	"2018 Week 03 ending January 20, 2018"	"2018/03"	"Texas"	"48"	4622	Not Applicable	Not Applicable
	"2018 Week 03 ending January 20, 2018"	"2018/03"	"Utah"	"49"	349	Not Applicable	Not Applicable
	"2018 Week 03 ending January 20, 2018"	"2018/03"	"Vermont"	"50"	115	Not Applicable	Not Applicable
	"2018 Week 03 ending January 20, 2018"	"2018/03"	"Virginia"	"51"	1427	Not Applicable	Not Applicable
	"2018 Week 03 ending January 20, 2018"	"2018/03"	"Washington"	"53"	1133	Not Applicable	Not Applicable
	"2018 Week 03 ending January 20, 2018"	"2018/03"	"West Virginia"	"54"	565	Not Applicable	Not Applicable
	"2018 Week 03 ending January 20, 2018"	"2018/03"	"Wisconsin"	"55"	1203	Not Applicable	Not Applicable
	"2018 Week 03 ending January 20, 2018"	"2018/03"	"Wyoming"	"56"	117	Not Applicable	Not Applicable
"Total"	"2018 Week 03 ending January 20, 2018"	"2018/03"			61137	Not Applicable	Not Applicable
	"2018 Week 04 ending January 27, 2018"	"2018/04"	"Alabama"	"01"	1240	Not Applicable	Not Applicable
	"2018 Week 04 ending January 27, 2018"	"2018/04"	"Alaska"	"02"	78	Not Applicable	Not Applicable
	"2018 Week 04 ending January 27, 2018"	"2018/04"	"Arizona"	"04"	1261	Not Applicable	Not Applicable
	"2018 Week 04 ending January 27, 2018"	"2018/04"	"Arkansas"	"05"	710	Not Applicable	Not Applicable
	"2018 Week 04 ending January 27, 2018"	"2018/04"	"California"	"06"	5530	Not Applicable	Not Applicable
	"2018 Week 04 ending January 27, 2018"	"2018/04"	"Colorado"	"08"	776	Not Applicable	Not Applicable
	"2018 Week 04 ending January 27, 2018"	"2018/04"	"Connecticut"	"09"	648	Not Applicable	Not Applicable
	"2018 Week 04 ending January 27, 2018"	"2018/04"	"Delaware"	"10"	193	Not Applicable	Not Applicable
	"2018 Week 04 ending January 27, 2018"	"2018/04"	"District of Columbia"	"11"	105	Not Applicable	Not Applicable
	"2018 Week 04 ending January 27, 2018"	"2018/04"	"Florida"	"12"	4293	Not Applicable	Not Applicable
	"2018 Week 04 ending January 27, 2018"	"2018/04"	"Georgia"	"13"	1816	Not Applicable	Not Applicable
	"2018 Week 04 ending January 27, 2018"	"2018/04"	"Hawaii"	"15"	206	Not Applicable	Not Applicable
	"2018 Week 04 ending January 27, 2018"	"2018/04"	"Idaho"	"16"	277	Not Applicable	Not Applicable
	"2018 Week 04 ending January 27, 2018"	"2018/04"	"Illinois"	"17"	2374	Not Applicable	Not Applicable
	"2018 Week 04 ending January 27, 2018"	"2018/04"	"Indiana"	"18"	1419	Not Applicable	Not Applicable
	"2018 Week 04 ending January 27, 2018"	"2018/04"	"Iowa"	"19"	611	Not Applicable	Not Applicable
	"2018 Week 04 ending January 27, 2018"	"2018/04"	"Kansas"	"20"	594	Not Applicable	Not Applicable
	"2018 Week 04 ending January 27, 2018"	"2018/04"	"Kentucky"	"21"	1043	Not Applicable	Not Applicable
	"2018 Week 04 ending January 27, 2018"	"2018/04"	"Louisiana"	"22"	951	Not Applicable	Not Applicable
	"2018 Week 04 ending January 27, 2018"	"2018/04"	"Maine"	"23"	294	Not Applicable	Not Applicable
	"2018 Week 04 ending January 27, 2018"	"2018/04"	"Maryland"	"24"	1051	Not Applicable	Not Applicable
	"2018 Week 04 ending January 27, 2018"	"2018/04"	"Massachusetts"	"25"	1195	Not Applicable	Not Applicable
	"2018 Week 04 ending January 27, 2018"	"2018/04"	"Michigan"	"26"	2049	Not Applicable	Not Applicable
	"2018 Week 04 ending January 27, 2018"	"2018/04"	"Minnesota"	"27"	890	Not Applicable	Not Applicable
	"2018 Week 04 ending January 27, 2018"	"2018/04"	"Mississippi"	"28"	694	Not Applicable	Not Applicable
	"2018 Week 04 ending January 27, 2018"	"2018/04"	"Missouri"	"29"	1353	Not Applicable	Not Applicable
	"2018 Week 04 ending January 27, 2018"	"2018/04"	"Montana"	"30"	206	Not Applicable	Not Applicable
	"2018 Week 04 ending January 27, 2018"	"2018/04"	"Nebraska"	"31"	348	Not Applicable	Not Applicable
	"2018 Week 04 ending January 27, 2018"	"2018/04"	"Nevada"	"32"	485	Not Applicable	Not Applicable
	"2018 Week 04 ending January 27, 2018"	"2018/04"	"New Hampshire"	"33"	259	Not Applicable	Not Applicable
	"2018 Week 04 ending January 27, 2018"	"2018/04"	"New Jersey"	"34"	1594	Not Applicable	Not Applicable
	"2018 Week 04 ending January 27, 2018"	"2018/04"	"New Mexico"	"35"	386	Not Applicable	Not Applicable
	"2018 Week 04 ending January 27, 2018"	"2018/04"	"New York"	"36"	3312	Not Applicable	Not Applicable
	"2018 Week 04 ending January 27, 2018"	"2018/04"	"North Carolina"	"37"	1948	Not Applicable	Not Applicable
	"2018 Week 04 ending January 27, 2018"	"2018/04"	"North Dakota"	"38"	123	Not Applicable	Not Applicable
	"2018 Week 04 ending January 27, 2018"	"2018/04"	"Ohio"	"39"	2662	Not Applicable	Not Applicable
	"2018 Week 04 ending January 27, 2018"	"2018/04"	"Oklahoma"	"40"	850	Not Applicable	Not Applicable
	"2018 Week 04 ending January 27, 2018"	"2018/04"	"Oregon"	"41"	707	Not Applicable	Not Applicable
	"2018 Week 04 ending January 27, 2018"	"2018/04"	"Pennsylvania"	"42"	2844	Not Applicable	Not Applicable
	"2018 Week 04 ending January 27, 2018"	"2018/04"	"Rhode Island"	"44"	202	Not Applicable	Not Applicable
	"2018 Week 04 ending January 27, 2018"	"2018/04"	"South Carolina"	"45"	1080	Not Applicable	Not Applicable
	"2018 Week 04 ending January 27, 2018"	"2018/04"	"South Dakota"	"46"	182	Not Applicable	Not Applicable
	"2018 Week 04 ending January 27, 2018"	"2018/04"	"Tennessee"	"47"	1512	Not Applicable	Not Applicable
	"2018 Week 04 ending January 27, 2018"	"2018/04"	"Texas"	"48"	4352	Not Applicable	Not Applicable
	"2018 Week 04 ending January 27, 2018"	"2018/04"	"Utah"	"49"	390	Not Applicable	Not Applicable
	"2018 Week 04 ending January 27, 2018"	"2018/04"	"Vermont"	"50"	126	Not Applicable	Not Applicable
	"2018 Week 04 ending January 27, 2018"	"2018/04"	"Virginia"	"51"	1385	Not Applicable	Not Applicable
	"2018 Week 04 ending January 27, 2018"	"2018/04"	"Washington"	"53"	1143	Not Applicable	Not Applicable
	"2018 Week 04 ending January 27, 2018"	"2018/04"	"West Virginia"	"54"	463	Not Applicable	Not Applicable
	"2018 Week 04 ending January 27, 2018"	"2018/04"	"Wisconsin"	"55"	1121	Not Applicable	Not Applicable
	"2018 Week 04 ending January 27, 2018"	"2018/04"	"Wyoming"	"56"	98	Not Applicable	Not Applicable
"Total"	"2018 Week 04 ending January 27, 2018"	"2018/04"			59429	Not Applicable	Not Applicable
	"2018 Week 05 ending February 03, 2018"	"2018/05"	"Alabama"	"01"	1095	Not Applicable	Not Applicable
	"2018 Week 05 ending February 03, 2018"	"2018/05"	"Alaska"	"02"	79	Not Applicable	Not Applicable
	"2018 Week 05 ending February 03, 2018"	"2018/05"	"Arizona"	"04"	1271	Not Applicable	Not Applicable
	"2018 Week 05 ending February 03, 2018"	"2018/05"	"Arkansas"	"05"	639	Not Applicable	Not Applicable
	"2018 Week 05 ending February 03, 2018"	"2018/05"	"California"	"06"	5625	Not Applicable	Not Applicable
	"2018 Week 05 ending February 03, 2018"	"2018/05"	"Colorado"	"08"	785	Not Applicable	Not Applicable
	"2018 Week 05 ending February 03, 2018"	"2018/05"	"Connecticut"	"09"	625	Not Applicable	Not Applicable
	"2018 Week 05 ending February 03, 2018"	"2018/05"	"Delaware"	"10"	164	Not Applicable	Not Applicable
	"2018 Week 05 ending February 03, 2018"	"2018/05"	"District of Columbia"	"11"	97	Not Applicable	Not Applicable
	"2018 Week 05 ending February 03, 2018"	"2018/05"	"Florida"	"12"	4309	Not Applicable	Not Applicable
	"2018 Week 05 ending February 03, 2018"	"2018/05"	"Georgia"	"13"	1782	Not Applicable	Not Applicable
	"2018 Week 05 ending February 03, 2018"	"2018/05"	"Hawaii"	"15"	234	Not Applicable	Not Applicable
	"2018 Week 05 ending February 03, 2018"	"2018/05"	"Idaho"	"16"	287	Not Applicable	Not Applicable
	"2018 Week 05 ending February 03, 2018"	"2018/05"	"Illinois"	"17"	2125	Not Applicable	Not Applicable
	"2018 Week 05 ending February 03, 2018"	"2018/05"	"Indiana"	"18"	1362	Not Applicable	Not Applicable
	"2018 Week 05 ending February 03, 2018"	"2018/05"	"Iowa"	"19"	582	Not Applicable	Not Applicable
	"2018 Week 05 ending February 03, 2018"	"2018/05"	"Kansas"	"20"	549	Not Applicable	Not Applicable
	"2018 Week 05 ending February 03, 2018"	"2018/05"	"Kentucky"	"21"	985	Not Applicable	Not Applicable
	"2018 Week 05 ending February 03, 2018"	"2018/05"	"Louisiana"	"22"	950	Not Applicable	Not Applicable
	"2018 Week 05 ending February 03, 2018"	"2018/05"	"Maine"	"23"	294	Not Applicable	Not Applicable
	"2018 Week 05 ending February 03, 2018"	"2018/05"	"Maryland"	"24"	967	Not Applicable	Not Applicable
	"2018 Week 05 ending February 03, 2018"	"2018/05"	"Massachusetts"	"25"	1211	Not Applicable	Not Applicable
	"2018 Week 05 ending February 03, 2018"	"2018/05"	"Michigan"	"26"	1948	Not Applicable	Not Applicable
	"2018 Week 05 ending February 03, 2018"	"2018/05"	"Minnesota"	"27"	894	Not Applicable	Not Applicable
	"2018 Week 05 ending February 03, 2018"	"2018/05"	"Mississippi"	"28"	619	Not Applicable	Not Applicable
	"2018 Week 05 ending February 03, 2018"	"2018/05"	"Missouri"	"29"	1300	Not Applicable	Not Applicable
	"2018 Week 05 ending February 03, 2018"	"2018/05"	"Montana"	"30"	185	Not Applicable	Not Applicable
	"2018 Week 05 ending February 03, 2018"	"2018/05"	"Nebraska"	"31"	327	Not Applicable	Not Applicable
	"2018 Week 05 ending February 03, 2018"	"2018/05"	"Nevada"	"32"	479	Not Applicable	Not Applicable
	"2018 Week 05 ending February 03, 2018"	"2018/05"	"New Hampshire"	"33"	265	Not Applicable	Not Applicable
	"2018 Week 05 ending February 03, 2018"	"2018/05"	"New Jersey"	"34"	1510	Not Applicable	Not Applicable
	"2018 Week 05 ending February 03, 2018"	"2018/05"	"New Mexico"	"35"	361	Not Applicable	Not Applicable
	"2018 Week 05 ending February 03, 2018"	"2018/05"	"New York"	"36"	3212	Not Applicable	Not Applicable
	"2018 Week 05 ending February 03, 2018"	"2018/05"	"North Carolina"	"37"	1955	Not Applicable	Not Applicable
	"2018 Week 05 ending February 03, 2018"	"2018/05"	"North Dakota"	"38"	135	Not Applicable	Not Applicable
	"2018 Week 05 ending February 03, 2018"	"2018/05"	"Ohio"	"39"	2416	Not Applicable	Not Applicable
	"2018 Week 05 ending February 03, 2018"	"2018/05"	"Oklahoma"	"40"	909	Not Applicable	Not Applicable
	"2018 Week 05 ending February 03, 2018"	"2018/05"	"Oregon"	"41"	667	Not Applicable	Not Applicable
	"2018 Week 05 ending February 03, 2018"	"2018/05"	"Pennsylvania"	"42"	2772	Not Applicable	Not Applicable
	"2018 Week 05 ending February 03, 2018"	"2018/05"	"Rhode Island"	"44"	199	Not Applicable	Not Applicable
