"Notes","Year","Year Code","State","State Code",Deaths,Population,Crude Rate
,"2002","2002","Florida","12",20606,1535731,1341.8
,"2002","2002","Georgia","13",9643,560101,1721.7
,"2002","2002","Hawaii","15",1075,93148,1154.1
,"2002","2002","Idaho","16",1215,94809,1281.5
,"2002","2002","Illinois","17",13516,883044,1530.6
,"2002","2002","Indiana","18",7301,454664,1605.8
,"2002","2002","Iowa","19",3016,229382,1314.8
,"2002","2002","Kansas","20",2746,192484,1426.6
,"2002","2002","Kentucky","21",6146,326325,1883.4
,"2002","2002","Louisiana","22",5936,329003,1804.2
,"2002","2002","Maine","23",1623,108708,1493.0
,"2002","2002","Maryland","24",5844,391342,1493.3
,"2002","2002","Massachusetts","25",6195,463465,1336.7
,"2002","2002","Michigan","26",11087,730096,1518.6
,"2002","2002","Minnesota","27",4065,346540,1173.0
,"2002","2002","Mississippi","28",4212,218143,1930.8
,"2002","2002","Missouri","29",7233,448903,1611.3
,"2002","2002","Montana","30",1045,74571,1401.3
,"2002","2002","Nebraska","31",1756,125030,1404.5
,"2002","2002","Nevada","32",2798,176691,1583.6
,"2002","2002","New Hampshire","33",1239,92877,1334.0
,"2002","2002","New Jersey","34",8781,639137,1373.9
,"2002","2002","New Mexico","35",1882,141990,1325.4
,"2002","2002","New York","36",19820,1445401,1371.2
,"2002","2002","North Carolina","37",10378,642763,1614.6
,"2002","2002","North Dakota","38",615,48001,1281.2
,"2002","2002","Ohio","39",14226,878649,1619.1
,"2002","2002","Oklahoma","40",5042,281237,1792.8
,"2002","2002","Oregon","41",3689,261657,1409.9
,"2002","2002","Pennsylvania","42",15037,999510,1504.4
,"2002","2002","Rhode Island","44",1056,76323,1383.6
,"2002","2002","South Carolina","45",5685,331875,1713.0
,"2002","2002","South Dakota","46",735,56297,1305.6
,"2002","2002","Tennessee","47",8271,467110,1770.7
,"2002","2002","Texas","48",21341,1386749,1538.9
,"2002","2002","Utah","49",1445,124159,1163.8
,"2002","2002","Vermont","50",640,47691,1342.0
,"2002","2002","Virginia","51",7895,534595,1476.8
,"2002","2002","Washington","53",5530,414556,1334.0
,"2002","2002","West Virginia","54",2867,166245,1724.6
,"2002","2002","Wisconsin","55",5404,398717,1355.3
,"2002","2002","Wyoming","56",557,38381,1451.2
"Total","2002","2002",,,313492,21198746,1478.8
,"2003","2003","Alabama","01",6834,380754,1794.9
,"2003","2003","Alaska","02",487,36374,1338.9
,"2003","2003","Arizona","04",5693,441274,1290.1
,"2003","2003","Arkansas","05",4051,238476,1698.7
,"2003","2003","California","06",29701,2332180,1273.5
,"2003","2003","Colorado","08",3679,298702,1231.7
,"2003","2003","Connecticut","09",3249,268317,1210.9
,"2003","2003","Delaware","10",939,67941,1382.1
,"2003","2003","District of Columbia","11",704,42045,1674.4
,"2003","2003","Florida","12",21141,1598123,1322.9
,"2003","2003","Georgia","13",10096,588571,1715.3
,"2003","2003","Hawaii","15",1065,96590,1102.6
,"2003","2003","Idaho","16",1238,100003,1238.0
,"2003","2003","Illinois","17",13391,913231,1466.3
,"2003","2003","Indiana","18",7572,471368,1606.4
,"2003","2003","Iowa","19",3121,235032,1327.9
,"2003","2003","Kansas","20",2769,197975,1398.7
,"2003","2003","Kentucky","21",6019,338132,1780.1
,"2003","2003","Louisiana","22",6181,339561,1820.3
,"2003","2003","Maine","23",1591,113314,1404.1
,"2003","2003","Maryland","24",5922,408651,1449.2
,"2003","2003","Massachusetts","25",6304,479792,1313.9
,"2003","2003","Michigan","26",11099,760433,1459.6
,"2003","2003","Minnesota","27",4067,361127,1126.2
,"2003","2003","Mississippi","28",4248,224286,1894.0
,"2003","2003","Missouri","29",7351,463024,1587.6
,"2003","2003","Montana","30",1062,78169,1358.6
,"2003","2003","Nebraska","31",1657,128100,1293.5
,"2003","2003","Nevada","32",2967,188952,1570.2
,"2003","2003","New Hampshire","33",1264,97669,1294.2
,"2003","2003","New Jersey","34",8695,662802,1311.9
,"2003","2003","New Mexico","35",1968,147951,1330.2
,"2003","2003","New York","36",19459,1489057,1306.8
,"2003","2003","North Carolina","37",10594,671065,1578.7
,"2003","2003","North Dakota","38",670,48878,1370.8
,"2003","2003","Ohio","39",14209,907251,1566.2
,"2003","2003","Oklahoma","40",4999,289018,1729.7
,"2003","2003","Oregon","41",3909,275712,1417.8
,"2003","2003","Pennsylvania","42",15266,1030062,1482.0
,"2003","2003","Rhode Island","44",1047,79151,1322.8
,"2003","2003","South Carolina","45",6037,346421,1742.7
,"2003","2003","South Dakota","46",769,57779,1330.9
,"2003","2003","Tennessee","47",8512,485772,1752.3
,"2003","2003","Texas","48",21683,1442751,1502.9
,"2003","2003","Utah","49",1513,130362,1160.6
,"2003","2003","Vermont","50",628,50279,1249.0
,"2003","2003","Virginia","51",8064,560025,1439.9
,"2003","2003","Washington","53",5705,437758,1303.2
,"2003","2003","West Virginia","54",3020,171622,1759.7
,"2003","2003","Wisconsin","55",5211,413154,1261.3
,"2003","2003","Wyoming","56",577,40148,1437.2
"Total","2003","2003",,,317997,22025184,1443.8
,"2004","2004","Alabama","01",6786,391666,1732.6
,"2004","2004","Alaska","02",476,38866,1224.7
,"2004","2004","Arizona","04",5908,465161,1270.1
,"2004","2004","Arkansas","05",4099,245001,1673.1
,"2004","2004","California","06",29088,2408738,1207.6
,"2004","2004","Colorado","08",3603,312891,1151.5
,"2004","2004","Connecticut","09",3273,277069,1181.3
,"2004","2004","Delaware","10",981,71248,1376.9
,"2004","2004","District of Columbia","11",740,42973,1722.0
,"2004","2004","Florida","12",21588,1669470,1293.1
,"2004","2004","Georgia","13",9956,613494,1622.8
,"2004","2004","Hawaii","15",1087,102170,1063.9
,"2004","2004","Idaho","16",1280,105374,1214.7
,"2004","2004","Illinois","17",13278,936203,1418.3
,"2004","2004","Indiana","18",7314,484335,1510.1
,"2004","2004","Iowa","19",3064,240358,1274.8
,"2004","2004","Kansas","20",2755,203296,1355.2
,"2004","2004","Kentucky","21",5849,346690,1687.1
,"2004","2004","Louisiana","22",6178,349075,1769.8
,"2004","2004","Maine","23",1557,117818,1321.5
,"2004","2004","Maryland","24",5766,423705,1360.9
,"2004","2004","Massachusetts","25",5992,493174,1215.0
,"2004","2004","Michigan","26",11017,785238,1403.0
,"2004","2004","Minnesota","27",4187,373064,1122.3
,"2004","2004","Mississippi","28",4257,231214,1841.2
,"2004","2004","Missouri","29",7225,475658,1518.9
,"2004","2004","Montana","30",1017,81547,1247.1
,"2004","2004","Nebraska","31",1645,131441,1251.5
,"2004","2004","Nevada","32",3056,201312,1518.0
,"2004","2004","New Hampshire","33",1251,102363,1222.1
,"2004","2004","New Jersey","34",8538,678620,1258.1
,"2004","2004","New Mexico","35",1886,153830,1226.0
,"2004","2004","New York","36",19262,1518820,1268.2
,"2004","2004","North Carolina","37",10634,698097,1523.3
,"2004","2004","North Dakota","38",603,50060,1204.6
,"2004","2004","Ohio","39",14031,926648,1514.2
,"2004","2004","Oklahoma","40",4994,296999,1681.5
,"2004","2004","Oregon","41",3745,289968,1291.5
,"2004","2004","Pennsylvania","42",14979,1053116,1422.4
,"2004","2004","Rhode Island","44",1042,81432,1279.6
,"2004","2004","South Carolina","45",5670,361147,1570.0
,"2004","2004","South Dakota","46",722,59698,1209.4
,"2004","2004","Tennessee","47",8186,502645,1628.6
,"2004","2004","Texas","48",21821,1501857,1452.9
,"2004","2004","Utah","49",1686,137107,1229.7
,"2004","2004","Vermont","50",628,52563,1194.8
,"2004","2004","Virginia","51",8033,583184,1377.4
,"2004","2004","Washington","53",5795,462056,1254.2
,"2004","2004","West Virginia","54",3048,175583,1735.9
,"2004","2004","Wisconsin","55",5389,425752,1265.8
,"2004","2004","Wyoming","56",553,41763,1324.1
"Total","2004","2004",,,315518,22771557,1385.6
,"2005","2005","Alabama","01",7050,400345,1761.0
,"2005","2005","Alaska","02",504,41161,1224.5
,"2005","2005","Arizona","04",6206,490515,1265.2
,"2005","2005","Arkansas","05",4226,250903,1684.3
,"2005","2005","California","06",29949,2479089,1208.1
,"2005","2005","Colorado","08",3598,327692,1098.0
,"2005","2005","Connecticut","09",3198,283047,1129.8
,"2005","2005","Delaware","10",1050,74064,1417.7
,"2005","2005","District of Columbia","11",777,43505,1786.0
,"2005","2005","Florida","12",21702,1734341,1251.3
,"2005","2005","Georgia","13",10247,641067,1598.4
,"2005","2005","Hawaii","15",1170,107487,1088.5
,"2005","2005","Idaho","16",1377,111093,1239.5
,"2005","2005","Illinois","17",13171,950983,1385.0
,"2005","2005","Indiana","18",7520,495981,1516.2
,"2005","2005","Iowa","19",3154,244147,1291.8
,"2005","2005","Kansas","20",2847,207666,1371.0
,"2005","2005","Kentucky","21",6110,355846,1717.0
,"2005","2005","Louisiana","22",6305,357870,1761.8
,"2005","2005","Maine","23",1660,121398,1367.4
,"2005","2005","Maryland","24",5982,436075,1371.8
,"2005","2005","Massachusetts","25",6009,503234,1194.1
,"2005","2005","Michigan","26",11344,802049,1414.4
,"2005","2005","Minnesota","27",4046,383567,1054.8
,"2005","2005","Mississippi","28",4302,236384,1819.9
,"2005","2005","Missouri","29",7075,486132,1455.4
,"2005","2005","Montana","30",1075,84578,1271.0
,"2005","2005","Nebraska","31",1700,133754,1271.0
,"2005","2005","Nevada","32",3265,209807,1556.2
,"2005","2005","New Hampshire","33",1291,105696,1221.4
,"2005","2005","New Jersey","34",8541,690438,1237.0
,"2005","2005","New Mexico","35",1996,160227,1245.7
,"2005","2005","New York","36",18843,1538248,1225.0
,"2005","2005","North Carolina","37",10677,723535,1475.7
,"2005","2005","North Dakota","38",570,50887,1120.1
,"2005","2005","Ohio","39",14145,937675,1508.5
,"2005","2005","Oklahoma","40",5195,302902,1715.1
,"2005","2005","Oregon","41",3864,303681,1272.4
,"2005","2005","Pennsylvania","42",14957,1067523,1401.1
,"2005","2005","Rhode Island","44",1047,82925,1262.6
,"2005","2005","South Carolina","45",5917,376078,1573.3
,"2005","2005","South Dakota","46",786,61090,1286.6
,"2005","2005","Tennessee","47",8478,519220,1632.8
,"2005","2005","Texas","48",21946,1557308,1409.2
,"2005","2005","Utah","49",1577,143508,1098.9
,"2005","2005","Vermont","50",571,54533,1047.1
,"2005","2005","Virginia","51",8332,604486,1378.4
,"2005","2005","Washington","53",5896,485559,1214.3
,"2005","2005","West Virginia","54",2894,178373,1622.4
,"2005","2005","Wisconsin","55",5356,436065,1228.3
,"2005","2005","Wyoming","56",561,43167,1299.6
"Total","2005","2005",,,320059,23416904,1366.8
,"2006","2006","Alabama","01",6885,411161,1674.5
,"2006","2006","Alaska","02",489,43426,1126.1
,"2006","2006","Arizona","04",6355,515127,1233.7
,"2006","2006","Arkansas","05",4097,257791,1589.3
,"2006","2006","California","06",29756,2549328,1167.2
,"2006","2006","Colorado","08",3686,344449,1070.1
,"2006","2006","Connecticut","09",3185,290999,1094.5
,"2006","2006","Delaware","10",1047,77482,1351.3
,"2006","2006","District of Columbia","11",800,44022,1817.3
,"2006","2006","Florida","12",21754,1782488,1220.4
,"2006","2006","Georgia","13",10419,673110,1547.9
,"2006","2006","Hawaii","15",1225,112615,1087.8
,"2006","2006","Idaho","16",1325,117388,1128.7
,"2006","2006","Illinois","17",13006,967064,1344.9
,"2006","2006","Indiana","18",7588,507561,1495.0
,"2006","2006","Iowa","19",3133,247949,1263.6
,"2006","2006","Kansas","20",2856,212209,1345.8
,"2006","2006","Kentucky","21",6147,365510,1681.8
,"2006","2006","Louisiana","22",5927,350034,1693.3
,"2006","2006","Maine","23",1652,124855,1323.1
,"2006","2006","Maryland","24",5763,446431,1290.9
,"2006","2006","Massachusetts","25",6056,515195,1175.5
,"2006","2006","Michigan","26",11228,819403,1370.3
,"2006","2006","Minnesota","27",4149,394375,1052.0
,"2006","2006","Mississippi","28",4261,240440,1772.2
,"2006","2006","Missouri","29",7259,497231,1459.9
,"2006","2006","Montana","30",1062,87981,1207.1
,"2006","2006","Nebraska","31",1674,136420,1227.1
,"2006","2006","Nevada","32",3215,217869,1475.7
,"2006","2006","New Hampshire","33",1285,109685,1171.5
,"2006","2006","New Jersey","34",8530,704230,1211.3
,"2006","2006","New Mexico","35",2052,167567,1224.6
,"2006","2006","New York","36",18893,1561043,1210.3
,"2006","2006","North Carolina","37",10991,755987,1453.9
,"2006","2006","North Dakota","38",621,51917,1196.1
,"2006","2006","Ohio","39",13804,952604,1449.1
