"Notes"	"Month"	"Month Code"	"State"	"State Code"	Deaths	Population	Crude Rate
	"Feb., 1999"	"1999/02"	"New York"	"36"	14128	Not Applicable	Not Applicable
	"Feb., 1999"	"1999/02"	"North Carolina"	"37"	5979	Not Applicable	Not Applicable
	"Feb., 1999"	"1999/02"	"North Dakota"	"38"	548	Not Applicable	Not Applicable
	"Feb., 1999"	"1999/02"	"Ohio"	"39"	9388	Not Applicable	Not Applicable
	"Feb., 1999"	"1999/02"	"Oklahoma"	"40"	2963	Not Applicable	Not Applicable
	"Feb., 1999"	"1999/02"	"Oregon"	"41"	2639	Not Applicable	Not Applicable
	"Feb., 1999"	"1999/02"	"Pennsylvania"	"42"	11643	Not Applicable	Not Applicable
	"Feb., 1999"	"1999/02"	"Rhode Island"	"44"	893	Not Applicable	Not Applicable
	"Feb., 1999"	"1999/02"	"South Carolina"	"45"	3022	Not Applicable	Not Applicable
	"Feb., 1999"	"1999/02"	"South Dakota"	"46"	557	Not Applicable	Not Applicable
	"Feb., 1999"	"1999/02"	"Tennessee"	"47"	4328	Not Applicable	Not Applicable
	"Feb., 1999"	"1999/02"	"Texas"	"48"	12714	Not Applicable	Not Applicable
	"Feb., 1999"	"1999/02"	"Utah"	"49"	1033	Not Applicable	Not Applicable
	"Feb., 1999"	"1999/02"	"Vermont"	"50"	444	Not Applicable	Not Applicable
	"Feb., 1999"	"1999/02"	"Virginia"	"51"	4861	Not Applicable	Not Applicable
	"Feb., 1999"	"1999/02"	"Washington"	"53"	3866	Not Applicable	Not Applicable
	"Feb., 1999"	"1999/02"	"West Virginia"	"54"	1853	Not Applicable	Not Applicable
	"Feb., 1999"	"1999/02"	"Wisconsin"	"55"	4019	Not Applicable	Not Applicable
	"Feb., 1999"	"1999/02"	"Wyoming"	"56"	310	Not Applicable	Not Applicable
"Total"	"Feb., 1999"	"1999/02"			206293	Not Applicable	Not Applicable
	"Mar., 1999"	"1999/03"	"Alabama"	"01"	4369	Not Applicable	Not Applicable
	"Mar., 1999"	"1999/03"	"Alaska"	"02"	221	Not Applicable	Not Applicable
	"Mar., 1999"	"1999/03"	"Arizona"	"04"	3714	Not Applicable	Not Applicable
	"Mar., 1999"	"1999/03"	"Arkansas"	"05"	2739	Not Applicable	Not Applicable
	"Mar., 1999"	"1999/03"	"California"	"06"	20427	Not Applicable	Not Applicable
	"Mar., 1999"	"1999/03"	"Colorado"	"08"	2484	Not Applicable	Not Applicable
	"Mar., 1999"	"1999/03"	"Connecticut"	"09"	2708	Not Applicable	Not Applicable
	"Mar., 1999"	"1999/03"	"Delaware"	"10"	631	Not Applicable	Not Applicable
	"Mar., 1999"	"1999/03"	"District of Columbia"	"11"	539	Not Applicable	Not Applicable
	"Mar., 1999"	"1999/03"	"Florida"	"12"	15223	Not Applicable	Not Applicable
	"Mar., 1999"	"1999/03"	"Georgia"	"13"	5880	Not Applicable	Not Applicable
	"Mar., 1999"	"1999/03"	"Hawaii"	"15"	704	Not Applicable	Not Applicable
	"Mar., 1999"	"1999/03"	"Idaho"	"16"	855	Not Applicable	Not Applicable
	"Mar., 1999"	"1999/03"	"Illinois"	"17"	10394	Not Applicable	Not Applicable
	"Mar., 1999"	"1999/03"	"Indiana"	"18"	5564	Not Applicable	Not Applicable
	"Mar., 1999"	"1999/03"	"Iowa"	"19"	2801	Not Applicable	Not Applicable
	"Mar., 1999"	"1999/03"	"Kansas"	"20"	2345	Not Applicable	Not Applicable
	"Mar., 1999"	"1999/03"	"Kentucky"	"21"	4052	Not Applicable	Not Applicable
	"Mar., 1999"	"1999/03"	"Louisiana"	"22"	3793	Not Applicable	Not Applicable
	"Mar., 1999"	"1999/03"	"Maine"	"23"	1149	Not Applicable	Not Applicable
	"Mar., 1999"	"1999/03"	"Maryland"	"24"	4130	Not Applicable	Not Applicable
	"Mar., 1999"	"1999/03"	"Massachusetts"	"25"	5204	Not Applicable	Not Applicable
	"Mar., 1999"	"1999/03"	"Michigan"	"26"	8532	Not Applicable	Not Applicable
	"Mar., 1999"	"1999/03"	"Minnesota"	"27"	3680	Not Applicable	Not Applicable
	"Mar., 1999"	"1999/03"	"Mississippi"	"28"	2731	Not Applicable	Not Applicable
	"Mar., 1999"	"1999/03"	"Missouri"	"29"	5405	Not Applicable	Not Applicable
	"Mar., 1999"	"1999/03"	"Montana"	"30"	741	Not Applicable	Not Applicable
	"Mar., 1999"	"1999/03"	"Nebraska"	"31"	1419	Not Applicable	Not Applicable
	"Mar., 1999"	"1999/03"	"Nevada"	"32"	1308	Not Applicable	Not Applicable
	"Mar., 1999"	"1999/03"	"New Hampshire"	"33"	935	Not Applicable	Not Applicable
	"Mar., 1999"	"1999/03"	"New Jersey"	"34"	6615	Not Applicable	Not Applicable
	"Mar., 1999"	"1999/03"	"New Mexico"	"35"	1223	Not Applicable	Not Applicable
	"Mar., 1999"	"1999/03"	"New York"	"36"	14163	Not Applicable	Not Applicable
	"Mar., 1999"	"1999/03"	"North Carolina"	"37"	6855	Not Applicable	Not Applicable
	"Mar., 1999"	"1999/03"	"North Dakota"	"38"	521	Not Applicable	Not Applicable
	"Mar., 1999"	"1999/03"	"Ohio"	"39"	10745	Not Applicable	Not Applicable
	"Mar., 1999"	"1999/03"	"Oklahoma"	"40"	3304	Not Applicable	Not Applicable
	"Mar., 1999"	"1999/03"	"Oregon"	"41"	2739	Not Applicable	Not Applicable
	"Mar., 1999"	"1999/03"	"Pennsylvania"	"42"	12493	Not Applicable	Not Applicable
	"Mar., 1999"	"1999/03"	"Rhode Island"	"44"	877	Not Applicable	Not Applicable
	"Mar., 1999"	"1999/03"	"South Carolina"	"45"	3375	Not Applicable	Not Applicable
	"Mar., 1999"	"1999/03"	"South Dakota"	"46"	654	Not Applicable	Not Applicable
	"Mar., 1999"	"1999/03"	"Tennessee"	"47"	5272	Not Applicable	Not Applicable
	"Mar., 1999"	"1999/03"	"Texas"	"48"	13482	Not Applicable	Not Applicable
	"Mar., 1999"	"1999/03"	"Utah"	"49"	1047	Not Applicable	Not Applicable
	"Mar., 1999"	"1999/03"	"Vermont"	"50"	473	Not Applicable	Not Applicable
	"Mar., 1999"	"1999/03"	"Virginia"	"51"	5348	Not Applicable	Not Applicable
	"Mar., 1999"	"1999/03"	"Washington"	"53"	3931	Not Applicable	Not Applicable
	"Mar., 1999"	"1999/03"	"West Virginia"	"54"	2110	Not Applicable	Not Applicable
	"Mar., 1999"	"1999/03"	"Wisconsin"	"55"	4536	Not Applicable	Not Applicable
	"Mar., 1999"	"1999/03"	"Wyoming"	"56"	337	Not Applicable	Not Applicable
"Total"	"Mar., 1999"	"1999/03"			224777	Not Applicable	Not Applicable
	"Apr., 1999"	"1999/04"	"Alabama"	"01"	3758	Not Applicable	Not Applicable
	"Apr., 1999"	"1999/04"	"Alaska"	"02"	215	Not Applicable	Not Applicable
	"Apr., 1999"	"1999/04"	"Arizona"	"04"	3169	Not Applicable	Not Applicable
	"Apr., 1999"	"1999/04"	"Arkansas"	"05"	2316	Not Applicable	Not Applicable
	"Apr., 1999"	"1999/04"	"California"	"06"	18940	Not Applicable	Not Applicable
	"Apr., 1999"	"1999/04"	"Colorado"	"08"	2224	Not Applicable	Not Applicable
	"Apr., 1999"	"1999/04"	"Connecticut"	"09"	2396	Not Applicable	Not Applicable
	"Apr., 1999"	"1999/04"	"Delaware"	"10"	560	Not Applicable	Not Applicable
	"Apr., 1999"	"1999/04"	"District of Columbia"	"11"	460	Not Applicable	Not Applicable
	"Apr., 1999"	"1999/04"	"Florida"	"12"	13405	Not Applicable	Not Applicable
	"Apr., 1999"	"1999/04"	"Georgia"	"13"	5181	Not Applicable	Not Applicable
