"Notes"	"MMWR Week"	"MMWR Week Code"	Deaths	Population	Crude Rate
	"2021 Week 01 ending January 09, 2021"	"2021/01"	4067	Not Applicable	Not Applicable
	"2021 Week 02 ending January 16, 2021"	"2021/02"	4023	Not Applicable	Not Applicable
	"2021 Week 03 ending January 23, 2021"	"2021/03"	3827	Not Applicable	Not Applicable
	"2021 Week 04 ending January 30, 2021"	"2021/04"	3662	Not Applicable	Not Applicable
	"2021 Week 05 ending February 06, 2021"	"2021/05"	3814	Not Applicable	Not Applicable
	"2021 Week 06 ending February 13, 2021"	"2021/06"	3671	Not Applicable	Not Applicable
	"2021 Week 07 ending February 20, 2021"	"2021/07"	3403	Not Applicable	Not Applicable
	"2021 Week 08 ending February 27, 2021"	"2021/08"	3488	Not Applicable	Not Applicable
	"2021 Week 09 ending March 06, 2021"	"2021/09"	3515	Not Applicable	Not Applicable
	"2021 Week 10 ending March 13, 2021"	"2021/10"	3468	Not Applicable	Not Applicable
	"2021 Week 11 ending March 20, 2021"	"2021/11"	3618	Not Applicable	Not Applicable
	"2021 Week 12 ending March 27, 2021"	"2021/12"	3590	Not Applicable	Not Applicable
	"2021 Week 13 ending April 03, 2021"	"2021/13"	3631	Not Applicable	Not Applicable
	"2021 Week 14 ending April 10, 2021"	"2021/14"	3788	Not Applicable	Not Applicable
	"2021 Week 15 ending April 17, 2021"	"2021/15"	3616	Not Applicable	Not Applicable
	"2021 Week 16 ending April 24, 2021"	"2021/16"	3676	Not Applicable	Not Applicable
	"2021 Week 17 ending May 01, 2021"	"2021/17"	3526	Not Applicable	Not Applicable
	"2021 Week 18 ending May 08, 2021"	"2021/18"	3743	Not Applicable	Not Applicable
	"2021 Week 19 ending May 15, 2021"	"2021/19"	3613	Not Applicable	Not Applicable
	"2021 Week 20 ending May 22, 2021"	"2021/20"	3652	Not Applicable	Not Applicable
	"2021 Week 21 ending May 29, 2021"	"2021/21"	3646	Not Applicable	Not Applicable
	"2021 Week 22 ending June 05, 2021"	"2021/22"	3663	Not Applicable	Not Applicable
