"Notes","Month","Month Code",Deaths,Population,Crude Rate
,"Jul., 2013","2013/07",189420,Not Applicable,Not Applicable
,"Aug., 2013","2013/08",189737,Not Applicable,Not Applicable
,"Sep., 2013","2013/09",184199,Not Applicable,Not Applicable
,"Oct., 2013","2013/10",196393,Not Applicable,Not Applicable
,"Nov., 2013","2013/11",196520,Not Applicable,Not Applicable
,"Dec., 2013","2013/12",213097,Not Applicable,Not Applicable
,"Jan., 2014","2014/01",225102,Not Applicable,Not Applicable
,"Feb., 2014","2014/02",196516,Not Applicable,Not Applicable
,"Mar., 2014","2014/03",211966,Not Applicable,Not Applicable
,"Apr., 2014","2014/04",200144,Not Applicable,Not Applicable
,"May, 2014","2014/05",201184,Not Applicable,Not Applicable
,"Jun., 2014","2014/06",189587,Not Applicable,Not Applicable
,"Jul., 2014","2014/07",193888,Not Applicable,Not Applicable
,"Aug., 2014","2014/08",192693,Not Applicable,Not Applicable
,"Sep., 2014","2014/09",190251,Not Applicable,Not Applicable
,"Oct., 2014","2014/10",201917,Not Applicable,Not Applicable
,"Nov., 2014","2014/11",205327,Not Applicable,Not Applicable
,"Dec., 2014","2014/12",226042,Not Applicable,Not Applicable
,"Jan., 2015","2015/01",247163,Not Applicable,Not Applicable
,"Feb., 2015","2015/02",211036,Not Applicable,Not Applicable
,"Mar., 2015","2015/03",225277,Not Applicable,Not Applicable
,"Apr., 2015","2015/04",208215,Not Applicable,Not Applicable
,"May, 2015","2015/05",207218,Not Applicable,Not Applicable
,"Jun., 2015","2015/06",195265,Not Applicable,Not Applicable
,"Jul., 2015","2015/07",200764,Not Applicable,Not Applicable
,"Aug., 2015","2015/08",198343,Not Applicable,Not Applicable
,"Sep., 2015","2015/09",194180,Not Applicable,Not Applicable
,"Oct., 2015","2015/10",206912,Not Applicable,Not Applicable
,"Nov., 2015","2015/11",203458,Not Applicable,Not Applicable
,"Dec., 2015","2015/12",216465,Not Applicable,Not Applicable
,"Jan., 2016","2016/01",227924,Not Applicable,Not Applicable
,"Feb., 2016","2016/02",213222,Not Applicable,Not Applicable
,"Mar., 2016","2016/03",225990,Not Applicable,Not Applicable
,"Apr., 2016","2016/04",210097,Not Applicable,Not Applicable
,"May, 2016","2016/05",207931,Not Applicable,Not Applicable
,"Jun., 2016","2016/06",196925,Not Applicable,Not Applicable
,"Jul., 2016","2016/07",202789,Not Applicable,Not Applicable
,"Aug., 2016","2016/08",203317,Not Applicable,Not Applicable
,"Sep., 2016","2016/09",198304,Not Applicable,Not Applicable
,"Oct., 2016","2016/10",211946,Not Applicable,Not Applicable
,"Nov., 2016","2016/11",210488,Not Applicable,Not Applicable
,"Dec., 2016","2016/12",230879,Not Applicable,Not Applicable
,"Jan., 2017","2017/01",243969,Not Applicable,Not Applicable
,"Feb., 2017","2017/02",217079,Not Applicable,Not Applicable
,"Mar., 2017","2017/03",233449,Not Applicable,Not Applicable
,"Apr., 2017","2017/04",214570,Not Applicable,Not Applicable
,"May, 2017","2017/05",212401,Not Applicable,Not Applicable
