"Notes","Year","Year Code","Residence State","Residence State Code",Deaths,Population,Crude Rate
,"2021","2021","North Dakota","38",586,84114,696.7
,"2021","2021","Ohio","39",13663,1528584,893.8
,"2021","2021","Oklahoma","40",5261,469132,1121.4
,"2021","2021","Oregon","41",3696,518379,713.0
,"2021","2021","Pennsylvania","42",12907,1729216,746.4
,"2021","2021","Rhode Island","44",896,150079,597.0
,"2021","2021","South Carolina","45",6779,676291,1002.4
,"2021","2021","South Dakota","46",813,103803,783.2
,"2021","2021","Tennessee","47",10094,912813,1105.8
,"2021","2021","Texas","48",28823,3493712,825.0
,"2021","2021","Utah","49",1912,322471,592.9
,"2021","2021","Vermont","50",518,88111,587.9
,"2021","2021","Virginia","51",7895,1136886,694.4
,"2021","2021","Washington","53",5946,949502,626.2
,"2021","2021","West Virginia","54",3061,237623,1288.2
,"2021","2021","Wisconsin","55",4912,780575,629.3
,"2021","2021","Wyoming","56",603,67380,894.9
"Total","2021","2021",,,327501,42474240,771.1
,"2022 (provisional)","2022","Alabama","01",6026,657553,916.4
,"2022 (provisional)","2022","Alaska","02",638,87678,727.7
,"2022 (provisional)","2022","Arizona","04",6120,865303,707.3
,"2022 (provisional)","2022","Arkansas","05",3473,375111,925.9
,"2022 (provisional)","2022","California","06",25678,4952545,518.5
,"2022 (provisional)","2022","Colorado","08",3882,703629,551.7
,"2022 (provisional)","2022","Connecticut","09",2662,513720,518.2
,"2022 (provisional)","2022","Delaware","10",960,132914,722.3
,"2022 (provisional)","2022","District of Columbia","11",596,68718,867.3
,"2022 (provisional)","2022","Florida","12",18490,2896046,638.5
,"2022 (provisional)","2022","Georgia","13",10277,1412594,727.5
,"2022 (provisional)","2022","Hawaii","15",1032,176573,584.5
,"2022 (provisional)","2022","Idaho","16",1234,219134,563.1
,"2022 (provisional)","2022","Illinois","17",10168,1638750,620.5
,"2022 (provisional)","2022","Indiana","18",6573,856312,767.6
,"2022 (provisional)","2022","Iowa","19",2448,388374,630.3
