"Notes"	"MMWR Week"	"MMWR Week Code"	"Residence State"	"Residence State Code"	Deaths	Population	Crude Rate
	"2021 Week 28 ending July 17, 2021"	"2021/28"	"New Mexico"	"35"	Suppressed	Not Applicable	Not Applicable
	"2021 Week 28 ending July 17, 2021"	"2021/28"	"New York"	"36"	0	Not Applicable	Not Applicable
	"2021 Week 28 ending July 17, 2021"	"2021/28"	"North Carolina"	"37"	0	Not Applicable	Not Applicable
	"2021 Week 28 ending July 17, 2021"	"2021/28"	"North Dakota"	"38"	0	Not Applicable	Not Applicable
	"2021 Week 28 ending July 17, 2021"	"2021/28"	"Ohio"	"39"	0	Not Applicable	Not Applicable
	"2021 Week 28 ending July 17, 2021"	"2021/28"	"Oklahoma"	"40"	0	Not Applicable	Not Applicable
	"2021 Week 28 ending July 17, 2021"	"2021/28"	"Oregon"	"41"	0	Not Applicable	Not Applicable
	"2021 Week 28 ending July 17, 2021"	"2021/28"	"Pennsylvania"	"42"	0	Not Applicable	Not Applicable
	"2021 Week 28 ending July 17, 2021"	"2021/28"	"Rhode Island"	"44"	0	Not Applicable	Not Applicable
	"2021 Week 28 ending July 17, 2021"	"2021/28"	"South Carolina"	"45"	0	Not Applicable	Not Applicable
	"2021 Week 28 ending July 17, 2021"	"2021/28"	"South Dakota"	"46"	0	Not Applicable	Not Applicable
	"2021 Week 28 ending July 17, 2021"	"2021/28"	"Tennessee"	"47"	0	Not Applicable	Not Applicable
	"2021 Week 28 ending July 17, 2021"	"2021/28"	"Texas"	"48"	0	Not Applicable	Not Applicable
	"2021 Week 28 ending July 17, 2021"	"2021/28"	"Utah"	"49"	0	Not Applicable	Not Applicable
	"2021 Week 28 ending July 17, 2021"	"2021/28"	"Vermont"	"50"	0	Not Applicable	Not Applicable
	"2021 Week 28 ending July 17, 2021"	"2021/28"	"Virginia"	"51"	0	Not Applicable	Not Applicable
	"2021 Week 28 ending July 17, 2021"	"2021/28"	"Washington"	"53"	0	Not Applicable	Not Applicable
	"2021 Week 28 ending July 17, 2021"	"2021/28"	"West Virginia"	"54"	0	Not Applicable	Not Applicable
	"2021 Week 28 ending July 17, 2021"	"2021/28"	"Wisconsin"	"55"	0	Not Applicable	Not Applicable
	"2021 Week 28 ending July 17, 2021"	"2021/28"	"Wyoming"	"56"	0	Not Applicable	Not Applicable
	"2021 Week 29 ending July 24, 2021"	"2021/29"	"Alabama"	"01"	0	Not Applicable	Not Applicable
	"2021 Week 29 ending July 24, 2021"	"2021/29"	"Alaska"	"02"	0	Not Applicable	Not Applicable
	"2021 Week 29 ending July 24, 2021"	"2021/29"	"Arizona"	"04"	Suppressed	Not Applicable	Not Applicable
	"2021 Week 29 ending July 24, 2021"	"2021/29"	"Arkansas"	"05"	0	Not Applicable	Not Applicable
	"2021 Week 29 ending July 24, 2021"	"2021/29"	"California"	"06"	0	Not Applicable	Not Applicable
	"2021 Week 29 ending July 24, 2021"	"2021/29"	"Colorado"	"08"	0	Not Applicable	Not Applicable
	"2021 Week 29 ending July 24, 2021"	"2021/29"	"Connecticut"	"09"	0	Not Applicable	Not Applicable
	"2021 Week 29 ending July 24, 2021"	"2021/29"	"Delaware"	"10"	0	Not Applicable	Not Applicable
	"2021 Week 29 ending July 24, 2021"	"2021/29"	"District of Columbia"	"11"	0	Not Applicable	Not Applicable
	"2021 Week 29 ending July 24, 2021"	"2021/29"	"Florida"	"12"	Suppressed	Not Applicable	Not Applicable
	"2021 Week 29 ending July 24, 2021"	"2021/29"	"Georgia"	"13"	0	Not Applicable	Not Applicable
	"2021 Week 29 ending July 24, 2021"	"2021/29"	"Hawaii"	"15"	0	Not Applicable	Not Applicable
	"2021 Week 29 ending July 24, 2021"	"2021/29"	"Idaho"	"16"	0	Not Applicable	Not Applicable
	"2021 Week 29 ending July 24, 2021"	"2021/29"	"Illinois"	"17"	0	Not Applicable	Not Applicable
	"2021 Week 29 ending July 24, 2021"	"2021/29"	"Indiana"	"18"	0	Not Applicable	Not Applicable
	"2021 Week 29 ending July 24, 2021"	"2021/29"	"Iowa"	"19"	0	Not Applicable	Not Applicable
	"2021 Week 29 ending July 24, 2021"	"2021/29"	"Kansas"	"20"	0	Not Applicable	Not Applicable
	"2021 Week 29 ending July 24, 2021"	"2021/29"	"Kentucky"	"21"	0	Not Applicable	Not Applicable
	"2021 Week 29 ending July 24, 2021"	"2021/29"	"Louisiana"	"22"	0	Not Applicable	Not Applicable
	"2021 Week 29 ending July 24, 2021"	"2021/29"	"Maine"	"23"	0	Not Applicable	Not Applicable
	"2021 Week 29 ending July 24, 2021"	"2021/29"	"Maryland"	"24"	0	Not Applicable	Not Applicable
	"2021 Week 29 ending July 24, 2021"	"2021/29"	"Massachusetts"	"25"	0	Not Applicable	Not Applicable
	"2021 Week 29 ending July 24, 2021"	"2021/29"	"Michigan"	"26"	0	Not Applicable	Not Applicable
	"2021 Week 29 ending July 24, 2021"	"2021/29"	"Minnesota"	"27"	0	Not Applicable	Not Applicable
	"2021 Week 29 ending July 24, 2021"	"2021/29"	"Mississippi"	"28"	0	Not Applicable	Not Applicable
	"2021 Week 29 ending July 24, 2021"	"2021/29"	"Missouri"	"29"	0	Not Applicable	Not Applicable
	"2021 Week 29 ending July 24, 2021"	"2021/29"	"Montana"	"30"	0	Not Applicable	Not Applicable
	"2021 Week 29 ending July 24, 2021"	"2021/29"	"Nebraska"	"31"	0	Not Applicable	Not Applicable
	"2021 Week 29 ending July 24, 2021"	"2021/29"	"Nevada"	"32"	0	Not Applicable	Not Applicable
	"2021 Week 29 ending July 24, 2021"	"2021/29"	"New Hampshire"	"33"	0	Not Applicable	Not Applicable
	"2021 Week 29 ending July 24, 2021"	"2021/29"	"New Jersey"	"34"	0	Not Applicable	Not Applicable
	"2021 Week 29 ending July 24, 2021"	"2021/29"	"New Mexico"	"35"	0	Not Applicable	Not Applicable
	"2021 Week 29 ending July 24, 2021"	"2021/29"	"New York"	"36"	0	Not Applicable	Not Applicable
	"2021 Week 29 ending July 24, 2021"	"2021/29"	"North Carolina"	"37"	0	Not Applicable	Not Applicable
	"2021 Week 29 ending July 24, 2021"	"2021/29"	"North Dakota"	"38"	0	Not Applicable	Not Applicable
	"2021 Week 29 ending July 24, 2021"	"2021/29"	"Ohio"	"39"	0	Not Applicable	Not Applicable
	"2021 Week 29 ending July 24, 2021"	"2021/29"	"Oklahoma"	"40"	0	Not Applicable	Not Applicable
	"2021 Week 29 ending July 24, 2021"	"2021/29"	"Oregon"	"41"	0	Not Applicable	Not Applicable
	"2021 Week 29 ending July 24, 2021"	"2021/29"	"Pennsylvania"	"42"	0	Not Applicable	Not Applicable
	"2021 Week 29 ending July 24, 2021"	"2021/29"	"Rhode Island"	"44"	0	Not Applicable	Not Applicable
	"2021 Week 29 ending July 24, 2021"	"2021/29"	"South Carolina"	"45"	0	Not Applicable	Not Applicable
	"2021 Week 29 ending July 24, 2021"	"2021/29"	"South Dakota"	"46"	0	Not Applicable	Not Applicable
	"2021 Week 29 ending July 24, 2021"	"2021/29"	"Tennessee"	"47"	0	Not Applicable	Not Applicable
	"2021 Week 29 ending July 24, 2021"	"2021/29"	"Texas"	"48"	0	Not Applicable	Not Applicable
	"2021 Week 29 ending July 24, 2021"	"2021/29"	"Utah"	"49"	0	Not Applicable	Not Applicable
	"2021 Week 29 ending July 24, 2021"	"2021/29"	"Vermont"	"50"	0	Not Applicable	Not Applicable
	"2021 Week 29 ending July 24, 2021"	"2021/29"	"Virginia"	"51"	0	Not Applicable	Not Applicable
	"2021 Week 29 ending July 24, 2021"	"2021/29"	"Washington"	"53"	0	Not Applicable	Not Applicable
	"2021 Week 29 ending July 24, 2021"	"2021/29"	"West Virginia"	"54"	0	Not Applicable	Not Applicable
	"2021 Week 29 ending July 24, 2021"	"2021/29"	"Wisconsin"	"55"	0	Not Applicable	Not Applicable
	"2021 Week 29 ending July 24, 2021"	"2021/29"	"Wyoming"	"56"	0	Not Applicable	Not Applicable
	"2021 Week 30 ending July 31, 2021"	"2021/30"	"Alabama"	"01"	0	Not Applicable	Not Applicable
	"2021 Week 30 ending July 31, 2021"	"2021/30"	"Alaska"	"02"	0	Not Applicable	Not Applicable
	"2021 Week 30 ending July 31, 2021"	"2021/30"	"Arizona"	"04"	0	Not Applicable	Not Applicable
	"2021 Week 30 ending July 31, 2021"	"2021/30"	"Arkansas"	"05"	0	Not Applicable	Not Applicable
	"2021 Week 30 ending July 31, 2021"	"2021/30"	"California"	"06"	Suppressed	Not Applicable	Not Applicable
	"2021 Week 30 ending July 31, 2021"	"2021/30"	"Colorado"	"08"	0	Not Applicable	Not Applicable
	"2021 Week 30 ending July 31, 2021"	"2021/30"	"Connecticut"	"09"	0	Not Applicable	Not Applicable
	"2021 Week 30 ending July 31, 2021"	"2021/30"	"Delaware"	"10"	0	Not Applicable	Not Applicable
	"2021 Week 30 ending July 31, 2021"	"2021/30"	"District of Columbia"	"11"	0	Not Applicable	Not Applicable
	"2021 Week 30 ending July 31, 2021"	"2021/30"	"Florida"	"12"	0	Not Applicable	Not Applicable
	"2021 Week 30 ending July 31, 2021"	"2021/30"	"Georgia"	"13"	0	Not Applicable	Not Applicable
	"2021 Week 30 ending July 31, 2021"	"2021/30"	"Hawaii"	"15"	0	Not Applicable	Not Applicable
	"2021 Week 30 ending July 31, 2021"	"2021/30"	"Idaho"	"16"	0	Not Applicable	Not Applicable
	"2021 Week 30 ending July 31, 2021"	"2021/30"	"Illinois"	"17"	0	Not Applicable	Not Applicable
	"2021 Week 30 ending July 31, 2021"	"2021/30"	"Indiana"	"18"	0	Not Applicable	Not Applicable
	"2021 Week 30 ending July 31, 2021"	"2021/30"	"Iowa"	"19"	0	Not Applicable	Not Applicable
	"2021 Week 30 ending July 31, 2021"	"2021/30"	"Kansas"	"20"	0	Not Applicable	Not Applicable
	"2021 Week 30 ending July 31, 2021"	"2021/30"	"Kentucky"	"21"	0	Not Applicable	Not Applicable
	"2021 Week 30 ending July 31, 2021"	"2021/30"	"Louisiana"	"22"	0	Not Applicable	Not Applicable
	"2021 Week 30 ending July 31, 2021"	"2021/30"	"Maine"	"23"	0	Not Applicable	Not Applicable
	"2021 Week 30 ending July 31, 2021"	"2021/30"	"Maryland"	"24"	0	Not Applicable	Not Applicable
	"2021 Week 30 ending July 31, 2021"	"2021/30"	"Massachusetts"	"25"	0	Not Applicable	Not Applicable
	"2021 Week 30 ending July 31, 2021"	"2021/30"	"Michigan"	"26"	0	Not Applicable	Not Applicable
	"2021 Week 30 ending July 31, 2021"	"2021/30"	"Minnesota"	"27"	0	Not Applicable	Not Applicable
	"2021 Week 30 ending July 31, 2021"	"2021/30"	"Mississippi"	"28"	0	Not Applicable	Not Applicable
	"2021 Week 30 ending July 31, 2021"	"2021/30"	"Missouri"	"29"	0	Not Applicable	Not Applicable
	"2021 Week 30 ending July 31, 2021"	"2021/30"	"Montana"	"30"	0	Not Applicable	Not Applicable
	"2021 Week 30 ending July 31, 2021"	"2021/30"	"Nebraska"	"31"	0	Not Applicable	Not Applicable
	"2021 Week 30 ending July 31, 2021"	"2021/30"	"Nevada"	"32"	0	Not Applicable	Not Applicable
	"2021 Week 30 ending July 31, 2021"	"2021/30"	"New Hampshire"	"33"	0	Not Applicable	Not Applicable
	"2021 Week 30 ending July 31, 2021"	"2021/30"	"New Jersey"	"34"	0	Not Applicable	Not Applicable
	"2021 Week 30 ending July 31, 2021"	"2021/30"	"New Mexico"	"35"	0	Not Applicable	Not Applicable
	"2021 Week 30 ending July 31, 2021"	"2021/30"	"New York"	"36"	0	Not Applicable	Not Applicable
	"2021 Week 30 ending July 31, 2021"	"2021/30"	"North Carolina"	"37"	0	Not Applicable	Not Applicable
	"2021 Week 30 ending July 31, 2021"	"2021/30"	"North Dakota"	"38"	0	Not Applicable	Not Applicable
	"2021 Week 30 ending July 31, 2021"	"2021/30"	"Ohio"	"39"	0	Not Applicable	Not Applicable
	"2021 Week 30 ending July 31, 2021"	"2021/30"	"Oklahoma"	"40"	0	Not Applicable	Not Applicable
	"2021 Week 30 ending July 31, 2021"	"2021/30"	"Oregon"	"41"	0	Not Applicable	Not Applicable
	"2021 Week 30 ending July 31, 2021"	"2021/30"	"Pennsylvania"	"42"	0	Not Applicable	Not Applicable
	"2021 Week 30 ending July 31, 2021"	"2021/30"	"Rhode Island"	"44"	0	Not Applicable	Not Applicable
	"2021 Week 30 ending July 31, 2021"	"2021/30"	"South Carolina"	"45"	0	Not Applicable	Not Applicable
	"2021 Week 30 ending July 31, 2021"	"2021/30"	"South Dakota"	"46"	0	Not Applicable	Not Applicable
	"2021 Week 30 ending July 31, 2021"	"2021/30"	"Tennessee"	"47"	0	Not Applicable	Not Applicable
	"2021 Week 30 ending July 31, 2021"	"2021/30"	"Texas"	"48"	0	Not Applicable	Not Applicable
	"2021 Week 30 ending July 31, 2021"	"2021/30"	"Utah"	"49"	0	Not Applicable	Not Applicable
	"2021 Week 30 ending July 31, 2021"	"2021/30"	"Vermont"	"50"	0	Not Applicable	Not Applicable
	"2021 Week 30 ending July 31, 2021"	"2021/30"	"Virginia"	"51"	0	Not Applicable	Not Applicable
	"2021 Week 30 ending July 31, 2021"	"2021/30"	"Washington"	"53"	0	Not Applicable	Not Applicable
	"2021 Week 30 ending July 31, 2021"	"2021/30"	"West Virginia"	"54"	0	Not Applicable	Not Applicable
	"2021 Week 30 ending July 31, 2021"	"2021/30"	"Wisconsin"	"55"	0	Not Applicable	Not Applicable
	"2021 Week 30 ending July 31, 2021"	"2021/30"	"Wyoming"	"56"	0	Not Applicable	Not Applicable
	"2021 Week 31 ending August 07, 2021"	"2021/31"	"Alabama"	"01"	0	Not Applicable	Not Applicable
	"2021 Week 31 ending August 07, 2021"	"2021/31"	"Alaska"	"02"	0	Not Applicable	Not Applicable
	"2021 Week 31 ending August 07, 2021"	"2021/31"	"Arizona"	"04"	0	Not Applicable	Not Applicable
	"2021 Week 31 ending August 07, 2021"	"2021/31"	"Arkansas"	"05"	0	Not Applicable	Not Applicable
	"2021 Week 31 ending August 07, 2021"	"2021/31"	"California"	"06"	0	Not Applicable	Not Applicable
	"2021 Week 31 ending August 07, 2021"	"2021/31"	"Colorado"	"08"	0	Not Applicable	Not Applicable
	"2021 Week 31 ending August 07, 2021"	"2021/31"	"Connecticut"	"09"	0	Not Applicable	Not Applicable
	"2021 Week 31 ending August 07, 2021"	"2021/31"	"Delaware"	"10"	0	Not Applicable	Not Applicable
	"2021 Week 31 ending August 07, 2021"	"2021/31"	"District of Columbia"	"11"	0	Not Applicable	Not Applicable
	"2021 Week 31 ending August 07, 2021"	"2021/31"	"Florida"	"12"	0	Not Applicable	Not Applicable
	"2021 Week 31 ending August 07, 2021"	"2021/31"	"Georgia"	"13"	0	Not Applicable	Not Applicable
	"2021 Week 31 ending August 07, 2021"	"2021/31"	"Hawaii"	"15"	0	Not Applicable	Not Applicable
	"2021 Week 31 ending August 07, 2021"	"2021/31"	"Idaho"	"16"	0	Not Applicable	Not Applicable
	"2021 Week 31 ending August 07, 2021"	"2021/31"	"Illinois"	"17"	0	Not Applicable	Not Applicable
	"2021 Week 31 ending August 07, 2021"	"2021/31"	"Indiana"	"18"	0	Not Applicable	Not Applicable
	"2021 Week 31 ending August 07, 2021"	"2021/31"	"Iowa"	"19"	0	Not Applicable	Not Applicable
	"2021 Week 31 ending August 07, 2021"	"2021/31"	"Kansas"	"20"	0	Not Applicable	Not Applicable
	"2021 Week 31 ending August 07, 2021"	"2021/31"	"Kentucky"	"21"	0	Not Applicable	Not Applicable
	"2021 Week 31 ending August 07, 2021"	"2021/31"	"Louisiana"	"22"	0	Not Applicable	Not Applicable
	"2021 Week 31 ending August 07, 2021"	"2021/31"	"Maine"	"23"	0	Not Applicable	Not Applicable
	"2021 Week 31 ending August 07, 2021"	"2021/31"	"Maryland"	"24"	0	Not Applicable	Not Applicable
	"2021 Week 31 ending August 07, 2021"	"2021/31"	"Massachusetts"	"25"	0	Not Applicable	Not Applicable
	"2021 Week 31 ending August 07, 2021"	"2021/31"	"Michigan"	"26"	0	Not Applicable	Not Applicable
	"2021 Week 31 ending August 07, 2021"	"2021/31"	"Minnesota"	"27"	0	Not Applicable	Not Applicable
	"2021 Week 31 ending August 07, 2021"	"2021/31"	"Mississippi"	"28"	0	Not Applicable	Not Applicable
	"2021 Week 31 ending August 07, 2021"	"2021/31"	"Missouri"	"29"	0	Not Applicable	Not Applicable
	"2021 Week 31 ending August 07, 2021"	"2021/31"	"Montana"	"30"	0	Not Applicable	Not Applicable
	"2021 Week 31 ending August 07, 2021"	"2021/31"	"Nebraska"	"31"	0	Not Applicable	Not Applicable
	"2021 Week 31 ending August 07, 2021"	"2021/31"	"Nevada"	"32"	0	Not Applicable	Not Applicable
	"2021 Week 31 ending August 07, 2021"	"2021/31"	"New Hampshire"	"33"	0	Not Applicable	Not Applicable
	"2021 Week 31 ending August 07, 2021"	"2021/31"	"New Jersey"	"34"	0	Not Applicable	Not Applicable
	"2021 Week 31 ending August 07, 2021"	"2021/31"	"New Mexico"	"35"	0	Not Applicable	Not Applicable
	"2021 Week 31 ending August 07, 2021"	"2021/31"	"New York"	"36"	0	Not Applicable	Not Applicable
	"2021 Week 31 ending August 07, 2021"	"2021/31"	"North Carolina"	"37"	0	Not Applicable	Not Applicable
	"2021 Week 31 ending August 07, 2021"	"2021/31"	"North Dakota"	"38"	0	Not Applicable	Not Applicable
	"2021 Week 31 ending August 07, 2021"	"2021/31"	"Ohio"	"39"	0	Not Applicable	Not Applicable
	"2021 Week 31 ending August 07, 2021"	"2021/31"	"Oklahoma"	"40"	0	Not Applicable	Not Applicable
	"2021 Week 31 ending August 07, 2021"	"2021/31"	"Oregon"	"41"	0	Not Applicable	Not Applicable
