"Notes"	"Year"	"Year Code"	"Month"	"Month Code"	Deaths	Population	Crude Rate
	"2009"	"2009"	"Jun., 2009"	"2009/06"	9858	Not Applicable	Not Applicable
	"2009"	"2009"	"Jul., 2009"	"2009/07"	10340	Not Applicable	Not Applicable
	"2009"	"2009"	"Aug., 2009"	"2009/08"	10070	Not Applicable	Not Applicable
	"2009"	"2009"	"Sep., 2009"	"2009/09"	9601	Not Applicable	Not Applicable
	"2009"	"2009"	"Oct., 2009"	"2009/10"	10457	Not Applicable	Not Applicable
	"2009"	"2009"	"Nov., 2009"	"2009/11"	10099	Not Applicable	Not Applicable
	"2009"	"2009"	"Dec., 2009"	"2009/12"	10194	Not Applicable	Not Applicable
"Total"	"2009"	"2009"			121562	Not Applicable	Not Applicable
	"2010"	"2010"	"Jan., 2010"	"2010/01"	10219	Not Applicable	Not Applicable
	"2010"	"2010"	"Feb., 2010"	"2010/02"	9075	Not Applicable	Not Applicable
	"2010"	"2010"	"Mar., 2010"	"2010/03"	10007	Not Applicable	Not Applicable
	"2010"	"2010"	"Apr., 2010"	"2010/04"	9508	Not Applicable	Not Applicable
	"2010"	"2010"	"May, 2010"	"2010/05"	9669	Not Applicable	Not Applicable
	"2010"	"2010"	"Jun., 2010"	"2010/06"	9451	Not Applicable	Not Applicable
	"2010"	"2010"	"Jul., 2010"	"2010/07"	9877	Not Applicable	Not Applicable
	"2010"	"2010"	"Aug., 2010"	"2010/08"	9630	Not Applicable	Not Applicable
	"2010"	"2010"	"Sep., 2010"	"2010/09"	9222	Not Applicable	Not Applicable
	"2010"	"2010"	"Oct., 2010"	"2010/10"	9580	Not Applicable	Not Applicable
	"2010"	"2010"	"Nov., 2010"	"2010/11"	9421	Not Applicable	Not Applicable
	"2010"	"2010"	"Dec., 2010"	"2010/12"	9931	Not Applicable	Not Applicable
"Total"	"2010"	"2010"			115590	Not Applicable	Not Applicable
	"2011"	"2011"	"Jan., 2011"	"2011/01"	10454	Not Applicable	Not Applicable
	"2011"	"2011"	"Feb., 2011"	"2011/02"	9399	Not Applicable	Not Applicable
	"2011"	"2011"	"Mar., 2011"	"2011/03"	10016	Not Applicable	Not Applicable
	"2011"	"2011"	"Apr., 2011"	"2011/04"	9345	Not Applicable	Not Applicable
	"2011"	"2011"	"May, 2011"	"2011/05"	9711	Not Applicable	Not Applicable
	"2011"	"2011"	"Jun., 2011"	"2011/06"	8989	Not Applicable	Not Applicable
	"2011"	"2011"	"Jul., 2011"	"2011/07"	9521	Not Applicable	Not Applicable
	"2011"	"2011"	"Aug., 2011"	"2011/08"	9423	Not Applicable	Not Applicable
	"2011"	"2011"	"Sep., 2011"	"2011/09"	9144	Not Applicable	Not Applicable
	"2011"	"2011"	"Oct., 2011"	"2011/10"	9378	Not Applicable	Not Applicable
	"2011"	"2011"	"Nov., 2011"	"2011/11"	9176	Not Applicable	Not Applicable
	"2011"	"2011"	"Dec., 2011"	"2011/12"	9533	Not Applicable	Not Applicable
"Total"	"2011"	"2011"			114089	Not Applicable	Not Applicable
	"2012"	"2012"	"Jan., 2012"	"2012/01"	9432	Not Applicable	Not Applicable
	"2012"	"2012"	"Feb., 2012"	"2012/02"	8861	Not Applicable	Not Applicable
	"2012"	"2012"	"Mar., 2012"	"2012/03"	9363	Not Applicable	Not Applicable
	"2012"	"2012"	"Apr., 2012"	"2012/04"	9072	Not Applicable	Not Applicable
	"2012"	"2012"	"May, 2012"	"2012/05"	9248	Not Applicable	Not Applicable
	"2012"	"2012"	"Jun., 2012"	"2012/06"	9119	Not Applicable	Not Applicable
	"2012"	"2012"	"Jul., 2012"	"2012/07"	9453	Not Applicable	Not Applicable
	"2012"	"2012"	"Aug., 2012"	"2012/08"	9313	Not Applicable	Not Applicable
	"2012"	"2012"	"Sep., 2012"	"2012/09"	8874	Not Applicable	Not Applicable
	"2012"	"2012"	"Oct., 2012"	"2012/10"	9091	Not Applicable	Not Applicable
	"2012"	"2012"	"Nov., 2012"	"2012/11"	8938	Not Applicable	Not Applicable
	"2012"	"2012"	"Dec., 2012"	"2012/12"	9505	Not Applicable	Not Applicable
"Total"	"2012"	"2012"			110269	Not Applicable	Not Applicable
	"2013"	"2013"	"Jan., 2013"	"2013/01"	10109	Not Applicable	Not Applicable
	"2013"	"2013"	"Feb., 2013"	"2013/02"	8687	Not Applicable	Not Applicable
	"2013"	"2013"	"Mar., 2013"	"2013/03"	9549	Not Applicable	Not Applicable
	"2013"	"2013"	"Apr., 2013"	"2013/04"	8857	Not Applicable	Not Applicable
	"2013"	"2013"	"May, 2013"	"2013/05"	9017	Not Applicable	Not Applicable
	"2013"	"2013"	"Jun., 2013"	"2013/06"	8689	Not Applicable	Not Applicable
