"Notes"	"Month"	"Month Code"	Deaths	Population	Crude Rate
	"Apr., 2014"	"2014/04"	43576	Not Applicable	Not Applicable
	"May, 2014"	"2014/05"	44143	Not Applicable	Not Applicable
	"Jun., 2014"	"2014/06"	41150	Not Applicable	Not Applicable
	"Jul., 2014"	"2014/07"	42430	Not Applicable	Not Applicable
	"Aug., 2014"	"2014/08"	41981	Not Applicable	Not Applicable
	"Sep., 2014"	"2014/09"	41540	Not Applicable	Not Applicable
	"Oct., 2014"	"2014/10"	43893	Not Applicable	Not Applicable
	"Nov., 2014"	"2014/11"	44818	Not Applicable	Not Applicable
	"Dec., 2014"	"2014/12"	49145	Not Applicable	Not Applicable
	"Jan., 2015"	"2015/01"	52616	Not Applicable	Not Applicable
	"Feb., 2015"	"2015/02"	45914	Not Applicable	Not Applicable
	"Mar., 2015"	"2015/03"	48889	Not Applicable	Not Applicable
	"Apr., 2015"	"2015/04"	46080	Not Applicable	Not Applicable
	"May, 2015"	"2015/05"	45494	Not Applicable	Not Applicable
	"Jun., 2015"	"2015/06"	42570	Not Applicable	Not Applicable
	"Jul., 2015"	"2015/07"	43941	Not Applicable	Not Applicable
	"Aug., 2015"	"2015/08"	43350	Not Applicable	Not Applicable
	"Sep., 2015"	"2015/09"	42422	Not Applicable	Not Applicable
	"Oct., 2015"	"2015/10"	45754	Not Applicable	Not Applicable
	"Nov., 2015"	"2015/11"	45098	Not Applicable	Not Applicable
	"Dec., 2015"	"2015/12"	47811	Not Applicable	Not Applicable
	"Jan., 2016"	"2016/01"	49809	Not Applicable	Not Applicable
	"Feb., 2016"	"2016/02"	47069	Not Applicable	Not Applicable
	"Mar., 2016"	"2016/03"	49196	Not Applicable	Not Applicable
	"Apr., 2016"	"2016/04"	46537	Not Applicable	Not Applicable
	"May, 2016"	"2016/05"	45514	Not Applicable	Not Applicable
	"Jun., 2016"	"2016/06"	43180	Not Applicable	Not Applicable
	"Jul., 2016"	"2016/07"	44659	Not Applicable	Not Applicable
	"Aug., 2016"	"2016/08"	45286	Not Applicable	Not Applicable
	"Sep., 2016"	"2016/09"	43972	Not Applicable	Not Applicable
	"Oct., 2016"	"2016/10"	47005	Not Applicable	Not Applicable
	"Nov., 2016"	"2016/11"	46688	Not Applicable	Not Applicable
	"Dec., 2016"	"2016/12"	51405	Not Applicable	Not Applicable
	"Jan., 2017"	"2017/01"	54125	Not Applicable	Not Applicable
	"Feb., 2017"	"2017/02"	48379	Not Applicable	Not Applicable
	"Mar., 2017"	"2017/03"	52457	Not Applicable	Not Applicable
	"Apr., 2017"	"2017/04"	48741	Not Applicable	Not Applicable
	"May, 2017"	"2017/05"	48397	Not Applicable	Not Applicable
	"Jun., 2017"	"2017/06"	45917	Not Applicable	Not Applicable
	"Jul., 2017"	"2017/07"	46695	Not Applicable	Not Applicable
	"Aug., 2017"	"2017/08"	46611	Not Applicable	Not Applicable
	"Sep., 2017"	"2017/09"	46394	Not Applicable	Not Applicable
	"Oct., 2017"	"2017/10"	49172	Not Applicable	Not Applicable
	"Nov., 2017"	"2017/11"	48964	Not Applicable	Not Applicable
	"Dec., 2017"	"2017/12"	55169	Not Applicable	Not Applicable
	"Jan., 2018"	"2018/01"	60740	Not Applicable	Not Applicable
	"Feb., 2018"	"2018/02"	51026	Not Applicable	Not Applicable
	"Mar., 2018"	"2018/03"	53148	Not Applicable	Not Applicable
	"Apr., 2018"	"2018/04"	50309	Not Applicable	Not Applicable
	"May, 2018"	"2018/05"	49536	Not Applicable	Not Applicable
	"Jun., 2018"	"2018/06"	47366	Not Applicable	Not Applicable
	"Jul., 2018"	"2018/07"	48618	Not Applicable	Not Applicable
	"Aug., 2018"	"2018/08"	48966	Not Applicable	Not Applicable
	"Sep., 2018"	"2018/09"	47650	Not Applicable	Not Applicable
	"Oct., 2018"	"2018/10"	51295	Not Applicable	Not Applicable
	"Nov., 2018"	"2018/11"	51152	Not Applicable	Not Applicable
	"Dec., 2018"	"2018/12"	54471	Not Applicable	Not Applicable
	"Jan., 2019"	"2019/01"	56605	Not Applicable	Not Applicable
	"Feb., 2019"	"2019/02"	51640	Not Applicable	Not Applicable
	"Mar., 2019"	"2019/03"	56082	Not Applicable	Not Applicable
	"Apr., 2019"	"2019/04"	52002	Not Applicable	Not Applicable
	"May, 2019"	"2019/05"	52433	Not Applicable	Not Applicable
	"Jun., 2019"	"2019/06"	49734	Not Applicable	Not Applicable
	"Jul., 2019"	"2019/07"	50248	Not Applicable	Not Applicable
