"Notes"	"MMWR Week"	"MMWR Week Code"	Deaths	Population	Crude Rate
	"2019 Week 38 ending September 21, 2019"	"2019/38"	51283	Not Applicable	Not Applicable
	"2019 Week 39 ending September 28, 2019"	"2019/39"	52222	Not Applicable	Not Applicable
	"2019 Week 40 ending October 05, 2019"	"2019/40"	52023	Not Applicable	Not Applicable
	"2019 Week 41 ending October 12, 2019"	"2019/41"	52567	Not Applicable	Not Applicable
	"2019 Week 42 ending October 19, 2019"	"2019/42"	53838	Not Applicable	Not Applicable
	"2019 Week 43 ending October 26, 2019"	"2019/43"	53525	Not Applicable	Not Applicable
	"2019 Week 44 ending November 02, 2019"	"2019/44"	53534	Not Applicable	Not Applicable
	"2019 Week 45 ending November 09, 2019"	"2019/45"	55148	Not Applicable	Not Applicable
	"2019 Week 46 ending November 16, 2019"	"2019/46"	55365	Not Applicable	Not Applicable
	"2019 Week 47 ending November 23, 2019"	"2019/47"	55679	Not Applicable	Not Applicable
	"2019 Week 48 ending November 30, 2019"	"2019/48"	54958	Not Applicable	Not Applicable
	"2019 Week 49 ending December 07, 2019"	"2019/49"	56793	Not Applicable	Not Applicable
	"2019 Week 50 ending December 14, 2019"	"2019/50"	57153	Not Applicable	Not Applicable
	"2019 Week 51 ending December 21, 2019"	"2019/51"	56914	Not Applicable	Not Applicable
	"2019 Week 52 ending December 28, 2019"	"2019/52"	57891	Not Applicable	Not Applicable
	"2019 Week Not Available"	"2019/99"	132	Not Applicable	Not Applicable
	"2020 Week 01 ending January 04, 2020"	"2020/01"	59476	Not Applicable	Not Applicable
	"2020 Week 02 ending January 11, 2020"	"2020/02"	60114	Not Applicable	Not Applicable
	"2020 Week 03 ending January 18, 2020"	"2020/03"	58707	Not Applicable	Not Applicable
	"2020 Week 04 ending January 25, 2020"	"2020/04"	58523	Not Applicable	Not Applicable
	"2020 Week 05 ending February 01, 2020"	"2020/05"	58184	Not Applicable	Not Applicable
	"2020 Week 06 ending February 08, 2020"	"2020/06"	58829	Not Applicable	Not Applicable
	"2020 Week 07 ending February 15, 2020"	"2020/07"	58185	Not Applicable	Not Applicable
	"2020 Week 08 ending February 22, 2020"	"2020/08"	58229	Not Applicable	Not Applicable
