"Notes","MMWR Week","MMWR Week Code",Deaths,Population,Crude Rate
,"2020 Week 23 ending June 06, 2020","2020/23",873,Not Applicable,Not Applicable
,"2020 Week 24 ending June 13, 2020","2020/24",859,Not Applicable,Not Applicable
,"2020 Week 25 ending June 20, 2020","2020/25",834,Not Applicable,Not Applicable
,"2020 Week 26 ending June 27, 2020","2020/26",802,Not Applicable,Not Applicable
,"2020 Week 27 ending July 04, 2020","2020/27",895,Not Applicable,Not Applicable
,"2020 Week 28 ending July 11, 2020","2020/28",906,Not Applicable,Not Applicable
,"2020 Week 29 ending July 18, 2020","2020/29",800,Not Applicable,Not Applicable
,"2020 Week 30 ending July 25, 2020","2020/30",829,Not Applicable,Not Applicable
,"2020 Week 31 ending August 01, 2020","2020/31",782,Not Applicable,Not Applicable
,"2020 Week 32 ending August 08, 2020","2020/32",829,Not Applicable,Not Applicable
,"2020 Week 33 ending August 15, 2020","2020/33",803,Not Applicable,Not Applicable
,"2020 Week 34 ending August 22, 2020","2020/34",763,Not Applicable,Not Applicable
,"2020 Week 35 ending August 29, 2020","2020/35",794,Not Applicable,Not Applicable
,"2020 Week 36 ending September 05, 2020","2020/36",781,Not Applicable,Not Applicable
,"2020 Week 37 ending September 12, 2020","2020/37",815,Not Applicable,Not Applicable
,"2020 Week 38 ending September 19, 2020","2020/38",811,Not Applicable,Not Applicable
,"2020 Week 39 ending September 26, 2020","2020/39",756,Not Applicable,Not Applicable
,"2020 Week 40 ending October 03, 2020","2020/40",797,Not Applicable,Not Applicable
,"2020 Week 41 ending October 10, 2020","2020/41",801,Not Applicable,Not Applicable
,"2020 Week 42 ending October 17, 2020","2020/42",764,Not Applicable,Not Applicable
,"2020 Week 43 ending October 24, 2020","2020/43",726,Not Applicable,Not Applicable
,"2020 Week 44 ending October 31, 2020","2020/44",773,Not Applicable,Not Applicable
,"2020 Week 45 ending November 07, 2020","2020/45",803,Not Applicable,Not Applicable
,"2020 Week 46 ending November 14, 2020","2020/46",815,Not Applicable,Not Applicable
,"2020 Week 47 ending November 21, 2020","2020/47",805,Not Applicable,Not Applicable
,"2020 Week 48 ending November 28, 2020","2020/48",722,Not Applicable,Not Applicable
,"2020 Week 49 ending December 05, 2020","2020/49",744,Not Applicable,Not Applicable
,"2020 Week 50 ending December 12, 2020","2020/50",744,Not Applicable,Not Applicable
,"2020 Week 51 ending December 19, 2020","2020/51",770,Not Applicable,Not Applicable
,"2020 Week 52 ending December 26, 2020","2020/52",708,Not Applicable,Not Applicable
,"2020 Week 53 ending January 02, 2021","2020/53",786,Not Applicable,Not Applicable
,"2020 Week Not Available","2020/99",Suppressed,Not Applicable,Not Applicable
,"2021 Week 01 ending January 09, 2021","2021/01",731,Not Applicable,Not Applicable
,"2021 Week 02 ending January 16, 2021","2021/02",740,Not Applicable,Not Applicable
