"Notes"	"Year"	"Year Code"	"State"	"State Code"	Deaths	Population	Crude Rate
	"2001"	"2001"	"Maine"	"23"	1381	383402	360.2
	"2001"	"2001"	"Maryland"	"24"	6872	1529252	449.4
	"2001"	"2001"	"Massachusetts"	"25"	6596	1760571	374.7
	"2001"	"2001"	"Michigan"	"26"	12292	2737559	449.0
	"2001"	"2001"	"Minnesota"	"27"	4127	1355513	304.5
	"2001"	"2001"	"Mississippi"	"28"	4394	728038	603.5
	"2001"	"2001"	"Missouri"	"29"	6971	1513809	460.5
	"2001"	"2001"	"Montana"	"30"	1005	264636	379.8
	"2001"	"2001"	"Nebraska"	"31"	1594	450611	353.7
	"2001"	"2001"	"Nevada"	"32"	2827	565778	499.7
	"2001"	"2001"	"New Hampshire"	"33"	1224	374186	327.1
	"2001"	"2001"	"New Jersey"	"34"	9775	2364191	413.5
	"2001"	"2001"	"New Mexico"	"35"	2223	489041	454.6
	"2001"	"2001"	"New York"	"36"	21784	5130203	424.6
	"2001"	"2001"	"North Carolina"	"37"	10676	2204795	484.2
	"2001"	"2001"	"North Dakota"	"38"	587	169275	346.8
	"2001"	"2001"	"Ohio"	"39"	13715	3120370	439.5
	"2001"	"2001"	"Oklahoma"	"40"	4723	914727	516.3
	"2001"	"2001"	"Oregon"	"41"	3794	980251	387.0
	"2001"	"2001"	"Pennsylvania"	"42"	14916	3409598	437.5
	"2001"	"2001"	"Rhode Island"	"44"	1086	286749	378.7
	"2001"	"2001"	"South Carolina"	"45"	6237	1103699	565.1
	"2001"	"2001"	"South Dakota"	"46"	731	196638	371.7
	"2001"	"2001"	"Tennessee"	"47"	8560	1576048	543.1
	"2001"	"2001"	"Texas"	"48"	23888	5368424	445.0
	"2001"	"2001"	"Utah"	"49"	1707	487417	350.2
	"2001"	"2001"	"Vermont"	"50"	619	184376	335.7
	"2001"	"2001"	"Virginia"	"51"	8372	2020093	414.4
	"2001"	"2001"	"Washington"	"53"	5839	1681899	347.2
	"2001"	"2001"	"West Virginia"	"54"	2739	520362	526.4
