"Notes","MMWR Week","MMWR Week Code","Residence State","Residence State Code",Deaths,Population,Crude Rate
,"2018 Week 03 ending January 20, 2018","2018/03","Idaho","16",269,Not Applicable,Not Applicable
,"2018 Week 03 ending January 20, 2018","2018/03","Illinois","17",2506,Not Applicable,Not Applicable
,"2018 Week 03 ending January 20, 2018","2018/03","Indiana","18",1522,Not Applicable,Not Applicable
,"2018 Week 03 ending January 20, 2018","2018/03","Iowa","19",656,Not Applicable,Not Applicable
,"2018 Week 03 ending January 20, 2018","2018/03","Kansas","20",610,Not Applicable,Not Applicable
,"2018 Week 03 ending January 20, 2018","2018/03","Kentucky","21",1078,Not Applicable,Not Applicable
,"2018 Week 03 ending January 20, 2018","2018/03","Louisiana","22",1158,Not Applicable,Not Applicable
,"2018 Week 03 ending January 20, 2018","2018/03","Maine","23",296,Not Applicable,Not Applicable
,"2018 Week 03 ending January 20, 2018","2018/03","Maryland","24",1081,Not Applicable,Not Applicable
,"2018 Week 03 ending January 20, 2018","2018/03","Massachusetts","25",1282,Not Applicable,Not Applicable
,"2018 Week 03 ending January 20, 2018","2018/03","Michigan","26",2203,Not Applicable,Not Applicable
,"2018 Week 03 ending January 20, 2018","2018/03","Minnesota","27",1019,Not Applicable,Not Applicable
,"2018 Week 03 ending January 20, 2018","2018/03","Mississippi","28",767,Not Applicable,Not Applicable
,"2018 Week 03 ending January 20, 2018","2018/03","Missouri","29",1591,Not Applicable,Not Applicable
,"2018 Week 03 ending January 20, 2018","2018/03","Montana","30",180,Not Applicable,Not Applicable
,"2018 Week 03 ending January 20, 2018","2018/03","Nebraska","31",386,Not Applicable,Not Applicable
,"2018 Week 03 ending January 20, 2018","2018/03","Nevada","32",532,Not Applicable,Not Applicable
,"2018 Week 03 ending January 20, 2018","2018/03","New Hampshire","33",239,Not Applicable,Not Applicable
,"2018 Week 03 ending January 20, 2018","2018/03","New Jersey","34",1645,Not Applicable,Not Applicable
,"2018 Week 03 ending January 20, 2018","2018/03","New Mexico","35",426,Not Applicable,Not Applicable
,"2018 Week 03 ending January 20, 2018","2018/03","New York","36",3424,Not Applicable,Not Applicable
,"2018 Week 03 ending January 20, 2018","2018/03","North Carolina","37",2083,Not Applicable,Not Applicable
,"2018 Week 03 ending January 20, 2018","2018/03","North Dakota","38",132,Not Applicable,Not Applicable
,"2018 Week 03 ending January 20, 2018","2018/03","Ohio","39",2846,Not Applicable,Not Applicable
,"2018 Week 03 ending January 20, 2018","2018/03","Oklahoma","40",973,Not Applicable,Not Applicable
,"2018 Week 03 ending January 20, 2018","2018/03","Oregon","41",787,Not Applicable,Not Applicable
,"2018 Week 03 ending January 20, 2018","2018/03","Pennsylvania","42",2993,Not Applicable,Not Applicable
,"2018 Week 03 ending January 20, 2018","2018/03","Rhode Island","44",210,Not Applicable,Not Applicable
,"2018 Week 03 ending January 20, 2018","2018/03","South Carolina","45",1130,Not Applicable,Not Applicable
,"2018 Week 03 ending January 20, 2018","2018/03","South Dakota","46",172,Not Applicable,Not Applicable
,"2018 Week 03 ending January 20, 2018","2018/03","Tennessee","47",1635,Not Applicable,Not Applicable
,"2018 Week 03 ending January 20, 2018","2018/03","Texas","48",4874,Not Applicable,Not Applicable
,"2018 Week 03 ending January 20, 2018","2018/03","Utah","49",363,Not Applicable,Not Applicable
,"2018 Week 03 ending January 20, 2018","2018/03","Vermont","50",123,Not Applicable,Not Applicable
,"2018 Week 03 ending January 20, 2018","2018/03","Virginia","51",1505,Not Applicable,Not Applicable
,"2018 Week 03 ending January 20, 2018","2018/03","Washington","53",1193,Not Applicable,Not Applicable
,"2018 Week 03 ending January 20, 2018","2018/03","West Virginia","54",584,Not Applicable,Not Applicable
