"Notes"	"Month"	"Month Code"	Deaths	Population	Crude Rate
	"May, 2010"	"2010/05"	182996	Not Applicable	Not Applicable
	"Jun., 2010"	"2010/06"	173020	Not Applicable	Not Applicable
	"Jul., 2010"	"2010/07"	178909	Not Applicable	Not Applicable
	"Aug., 2010"	"2010/08"	176606	Not Applicable	Not Applicable
	"Sep., 2010"	"2010/09"	172984	Not Applicable	Not Applicable
	"Oct., 2010"	"2010/10"	184930	Not Applicable	Not Applicable
	"Nov., 2010"	"2010/11"	183867	Not Applicable	Not Applicable
	"Dec., 2010"	"2010/12"	200802	Not Applicable	Not Applicable
	"Jan., 2011"	"2011/01"	207059	Not Applicable	Not Applicable
	"Feb., 2011"	"2011/02"	187994	Not Applicable	Not Applicable
	"Mar., 2011"	"2011/03"	200311	Not Applicable	Not Applicable
	"Apr., 2011"	"2011/04"	185440	Not Applicable	Not Applicable
	"May, 2011"	"2011/05"	185988	Not Applicable	Not Applicable
	"Jun., 2011"	"2011/06"	176529	Not Applicable	Not Applicable
	"Jul., 2011"	"2011/07"	181074	Not Applicable	Not Applicable
	"Aug., 2011"	"2011/08"	179434	Not Applicable	Not Applicable
	"Sep., 2011"	"2011/09"	174529	Not Applicable	Not Applicable
	"Oct., 2011"	"2011/10"	185282	Not Applicable	Not Applicable
	"Nov., 2011"	"2011/11"	183296	Not Applicable	Not Applicable
	"Dec., 2011"	"2011/12"	194175	Not Applicable	Not Applicable
	"Jan., 2012"	"2012/01"	199484	Not Applicable	Not Applicable
	"Feb., 2012"	"2012/02"	184982	Not Applicable	Not Applicable
	"Mar., 2012"	"2012/03"	196430	Not Applicable	Not Applicable
	"Apr., 2012"	"2012/04"	184782	Not Applicable	Not Applicable
	"May, 2012"	"2012/05"	185208	Not Applicable	Not Applicable
	"Jun., 2012"	"2012/06"	177346	Not Applicable	Not Applicable
	"Jul., 2012"	"2012/07"	182085	Not Applicable	Not Applicable
	"Aug., 2012"	"2012/08"	182387	Not Applicable	Not Applicable
	"Sep., 2012"	"2012/09"	178871	Not Applicable	Not Applicable
	"Oct., 2012"	"2012/10"	189608	Not Applicable	Not Applicable
	"Nov., 2012"	"2012/11"	189859	Not Applicable	Not Applicable
	"Dec., 2012"	"2012/12"	207817	Not Applicable	Not Applicable
	"Jan., 2013"	"2013/01"	228291	Not Applicable	Not Applicable
	"Feb., 2013"	"2013/02"	191743	Not Applicable	Not Applicable
	"Mar., 2013"	"2013/03"	206044	Not Applicable	Not Applicable
	"Apr., 2013"	"2013/04"	189387	Not Applicable	Not Applicable
	"May, 2013"	"2013/05"	186928	Not Applicable	Not Applicable
	"Jun., 2013"	"2013/06"	178309	Not Applicable	Not Applicable
	"Jul., 2013"	"2013/07"	182338	Not Applicable	Not Applicable
	"Aug., 2013"	"2013/08"	182500	Not Applicable	Not Applicable
	"Sep., 2013"	"2013/09"	176827	Not Applicable	Not Applicable
	"Oct., 2013"	"2013/10"	187886	Not Applicable	Not Applicable
	"Nov., 2013"	"2013/11"	188047	Not Applicable	Not Applicable
	"Dec., 2013"	"2013/12"	204374	Not Applicable	Not Applicable
	"Jan., 2014"	"2014/01"	216142	Not Applicable	Not Applicable
	"Feb., 2014"	"2014/02"	187902	Not Applicable	Not Applicable
	"Mar., 2014"	"2014/03"	202179	Not Applicable	Not Applicable
	"Apr., 2014"	"2014/04"	190584	Not Applicable	Not Applicable
	"May, 2014"	"2014/05"	191999	Not Applicable	Not Applicable
	"Jun., 2014"	"2014/06"	181720	Not Applicable	Not Applicable
	"Jul., 2014"	"2014/07"	186131	Not Applicable	Not Applicable
	"Aug., 2014"	"2014/08"	184612	Not Applicable	Not Applicable
	"Sep., 2014"	"2014/09"	181669	Not Applicable	Not Applicable
	"Oct., 2014"	"2014/10"	193205	Not Applicable	Not Applicable
	"Nov., 2014"	"2014/11"	195621	Not Applicable	Not Applicable
	"Dec., 2014"	"2014/12"	214125	Not Applicable	Not Applicable
	"Jan., 2015"	"2015/01"	231746	Not Applicable	Not Applicable
	"Feb., 2015"	"2015/02"	199348	Not Applicable	Not Applicable
	"Mar., 2015"	"2015/03"	213859	Not Applicable	Not Applicable
	"Apr., 2015"	"2015/04"	198138	Not Applicable	Not Applicable
