"Notes"	"State"	"State Code"	"Month"	"Month Code"	Deaths	Population	Crude Rate
	"Texas"	"48"	"Aug., 2019"	"2019/08"	474	Not Applicable	Not Applicable
	"Texas"	"48"	"Sep., 2019"	"2019/09"	457	Not Applicable	Not Applicable
	"Texas"	"48"	"Oct., 2019"	"2019/10"	477	Not Applicable	Not Applicable
	"Texas"	"48"	"Nov., 2019"	"2019/11"	469	Not Applicable	Not Applicable
	"Texas"	"48"	"Dec., 2019"	"2019/12"	483	Not Applicable	Not Applicable
	"Texas"	"48"	"Jan., 2020 "	"2020/01"	519	Not Applicable	Not Applicable
	"Texas"	"48"	"Feb., 2020 "	"2020/02"	463	Not Applicable	Not Applicable
	"Texas"	"48"	"Mar., 2020 "	"2020/03"	458	Not Applicable	Not Applicable
	"Texas"	"48"	"Apr., 2020 "	"2020/04"	523	Not Applicable	Not Applicable
	"Texas"	"48"	"May, 2020 "	"2020/05"	574	Not Applicable	Not Applicable
	"Texas"	"48"	"Jun., 2020 "	"2020/06"	626	Not Applicable	Not Applicable
	"Texas"	"48"	"Jul., 2020 "	"2020/07"	784	Not Applicable	Not Applicable
	"Texas"	"48"	"Aug., 2020 "	"2020/08"	695	Not Applicable	Not Applicable
	"Texas"	"48"	"Sep., 2020 "	"2020/09"	559	Not Applicable	Not Applicable
	"Texas"	"48"	"Oct., 2020 "	"2020/10"	586	Not Applicable	Not Applicable
	"Texas"	"48"	"Nov., 2020 "	"2020/11"	646	Not Applicable	Not Applicable
	"Texas"	"48"	"Dec., 2020 "	"2020/12"	664	Not Applicable	Not Applicable
"Total"	"Texas"	"48"			104027	Not Applicable	Not Applicable
	"Utah"	"49"	"Jan., 1999"	"1999/01"	36	Not Applicable	Not Applicable
	"Utah"	"49"	"Feb., 1999"	"1999/02"	35	Not Applicable	Not Applicable
	"Utah"	"49"	"Mar., 1999"	"1999/03"	32	Not Applicable	Not Applicable
	"Utah"	"49"	"Apr., 1999"	"1999/04"	35	Not Applicable	Not Applicable
	"Utah"	"49"	"May, 1999"	"1999/05"	35	Not Applicable	Not Applicable
	"Utah"	"49"	"Jun., 1999"	"1999/06"	38	Not Applicable	Not Applicable
	"Utah"	"49"	"Jul., 1999"	"1999/07"	42	Not Applicable	Not Applicable
	"Utah"	"49"	"Aug., 1999"	"1999/08"	39	Not Applicable	Not Applicable
	"Utah"	"49"	"Sep., 1999"	"1999/09"	33	Not Applicable	Not Applicable
	"Utah"	"49"	"Oct., 1999"	"1999/10"	38	Not Applicable	Not Applicable
	"Utah"	"49"	"Nov., 1999"	"1999/11"	36	Not Applicable	Not Applicable
	"Utah"	"49"	"Dec., 1999"	"1999/12"	35	Not Applicable	Not Applicable
