"Notes","MMWR Week","MMWR Week Code",Deaths,Population,Crude Rate
,"2020 Week 08 ending February 22, 2020","2020/08",58559,Not Applicable,Not Applicable
,"2020 Week 09 ending February 29, 2020","2020/09",59000,Not Applicable,Not Applicable
,"2020 Week 10 ending March 07, 2020","2020/10",59395,Not Applicable,Not Applicable
,"2020 Week 11 ending March 14, 2020","2020/11",58327,Not Applicable,Not Applicable
,"2020 Week 12 ending March 21, 2020","2020/12",58900,Not Applicable,Not Applicable
,"2020 Week 13 ending March 28, 2020","2020/13",62669,Not Applicable,Not Applicable
,"2020 Week 14 ending April 04, 2020","2020/14",71967,Not Applicable,Not Applicable
,"2020 Week 15 ending April 11, 2020","2020/15",78719,Not Applicable,Not Applicable
,"2020 Week 16 ending April 18, 2020","2020/16",76512,Not Applicable,Not Applicable
,"2020 Week 17 ending April 25, 2020","2020/17",73548,Not Applicable,Not Applicable
,"2020 Week 18 ending May 02, 2020","2020/18",68956,Not Applicable,Not Applicable
,"2020 Week 19 ending May 09, 2020","2020/19",66457,Not Applicable,Not Applicable
,"2020 Week 20 ending May 16, 2020","2020/20",64186,Not Applicable,Not Applicable
,"2020 Week 21 ending May 23, 2020","2020/21",61268,Not Applicable,Not Applicable
,"2020 Week 22 ending May 30, 2020","2020/22",59362,Not Applicable,Not Applicable
,"2020 Week 23 ending June 06, 2020","2020/23",58547,Not Applicable,Not Applicable
,"2020 Week 24 ending June 13, 2020","2020/24",57643,Not Applicable,Not Applicable
,"2020 Week 25 ending June 20, 2020","2020/25",57663,Not Applicable,Not Applicable
,"2020 Week 26 ending June 27, 2020","2020/26",58117,Not Applicable,Not Applicable
,"2020 Week 27 ending July 04, 2020","2020/27",59412,Not Applicable,Not Applicable
,"2020 Week 28 ending July 11, 2020","2020/28",61506,Not Applicable,Not Applicable
,"2020 Week 29 ending July 18, 2020","2020/29",62735,Not Applicable,Not Applicable
,"2020 Week 30 ending July 25, 2020","2020/30",63871,Not Applicable,Not Applicable
,"2020 Week 31 ending August 01, 2020","2020/31",63859,Not Applicable,Not Applicable
,"2020 Week 32 ending August 08, 2020","2020/32",63310,Not Applicable,Not Applicable
,"2020 Week 33 ending August 15, 2020","2020/33",63236,Not Applicable,Not Applicable
,"2020 Week 34 ending August 22, 2020","2020/34",62185,Not Applicable,Not Applicable
,"2020 Week 35 ending August 29, 2020","2020/35",60712,Not Applicable,Not Applicable
,"2020 Week 36 ending September 05, 2020","2020/36",59876,Not Applicable,Not Applicable
,"2020 Week 37 ending September 12, 2020","2020/37",59304,Not Applicable,Not Applicable
,"2020 Week 38 ending September 19, 2020","2020/38",59378,Not Applicable,Not Applicable
,"2020 Week 39 ending September 26, 2020","2020/39",60267,Not Applicable,Not Applicable
,"2020 Week 40 ending October 03, 2020","2020/40",59449,Not Applicable,Not Applicable
,"2020 Week 41 ending October 10, 2020","2020/41",61419,Not Applicable,Not Applicable
,"2020 Week 42 ending October 17, 2020","2020/42",60272,Not Applicable,Not Applicable
,"2020 Week 43 ending October 24, 2020","2020/43",61857,Not Applicable,Not Applicable
,"2020 Week 44 ending October 31, 2020","2020/44",63100,Not Applicable,Not Applicable
,"2020 Week 45 ending November 07, 2020","2020/45",67223,Not Applicable,Not Applicable
,"2020 Week 46 ending November 14, 2020","2020/46",68454,Not Applicable,Not Applicable
,"2020 Week 47 ending November 21, 2020","2020/47",71284,Not Applicable,Not Applicable
,"2020 Week 48 ending November 28, 2020","2020/48",72954,Not Applicable,Not Applicable
,"2020 Week 49 ending December 05, 2020","2020/49",77019,Not Applicable,Not Applicable
,"2020 Week 50 ending December 12, 2020","2020/50",81645,Not Applicable,Not Applicable
,"2020 Week 51 ending December 19, 2020","2020/51",82527,Not Applicable,Not Applicable
,"2020 Week 52 ending December 26, 2020","2020/52",84010,Not Applicable,Not Applicable
,"2020 Week 53 ending January 02, 2021","2020/53",86607,Not Applicable,Not Applicable
,"2020 Week Not Available","2020/99",198,Not Applicable,Not Applicable
,"2021 Week 01 ending January 09, 2021","2021/01",86662,Not Applicable,Not Applicable
,"2021 Week 02 ending January 16, 2021","2021/02",87012,Not Applicable,Not Applicable
,"2021 Week 03 ending January 23, 2021","2021/03",83304,Not Applicable,Not Applicable
,"2021 Week 04 ending January 30, 2021","2021/04",78786,Not Applicable,Not Applicable
,"2021 Week 05 ending February 06, 2021","2021/05",76109,Not Applicable,Not Applicable
,"2021 Week 06 ending February 13, 2021","2021/06",71161,Not Applicable,Not Applicable
,"2021 Week 07 ending February 20, 2021","2021/07",69141,Not Applicable,Not Applicable
,"2021 Week 08 ending February 27, 2021","2021/08",66387,Not Applicable,Not Applicable
,"2021 Week 09 ending March 06, 2021","2021/09",63358,Not Applicable,Not Applicable
,"2021 Week 10 ending March 13, 2021","2021/10",61480,Not Applicable,Not Applicable
,"2021 Week 11 ending March 20, 2021","2021/11",60002,Not Applicable,Not Applicable
,"2021 Week 12 ending March 27, 2021","2021/12",60452,Not Applicable,Not Applicable
,"2021 Week 13 ending April 03, 2021","2021/13",58341,Not Applicable,Not Applicable
,"2021 Week 14 ending April 10, 2021","2021/14",60605,Not Applicable,Not Applicable
,"2021 Week 15 ending April 17, 2021","2021/15",58773,Not Applicable,Not Applicable
,"2021 Week 16 ending April 24, 2021","2021/16",59857,Not Applicable,Not Applicable
,"2021 Week 17 ending May 01, 2021","2021/17",59434,Not Applicable,Not Applicable
