"Notes"	"Year"	"Year Code"	"Single-Year Ages"	"Single-Year Ages Code"	Deaths	Population	Crude Rate
	"2020"	"2020"	"41 years"	"41"	22	10339	212.8
	"2020"	"2020"	"42 years"	"42"	30	9314	322.1
	"2020"	"2020"	"43 years"	"43"	24	8754	274.2
	"2020"	"2020"	"44 years"	"44"	33	7914	417.0
	"2020"	"2020"	"45 years"	"45"	35	7969	439.2
	"2020"	"2020"	"46 years"	"46"	21	7417	283.1
	"2020"	"2020"	"47 years"	"47"	27	7520	359.0
	"2020"	"2020"	"48 years"	"48"	29	7615	380.8
	"2020"	"2020"	"49 years"	"49"	33	7921	416.6
	"2020"	"2020"	"50 years"	"50"	43	7745	555.2
	"2020"	"2020"	"51 years"	"51"	49	7243	676.5
	"2020"	"2020"	"52 years"	"52"	55	7012	784.4
	"2020"	"2020"	"53 years"	"53"	51	6782	752.0
	"2020"	"2020"	"54 years"	"54"	67	6828	981.3
	"2020"	"2020"	"55 years"	"55"	99	7421	1334.1
	"2020"	"2020"	"56 years"	"56"	83	7325	1133.1
	"2020"	"2020"	"57 years"	"57"	98	7391	1325.9
	"2020"	"2020"	"58 years"	"58"	90	7120	1264.0
	"2020"	"2020"	"59 years"	"59"	118	7217	1635.0
	"2020"	"2020"	"60 years"	"60"	107	7191	1488.0
	"2020"	"2020"	"61 years"	"61"	117	6719	1741.3
	"2020"	"2020"	"62 years"	"62"	128	6632	1930.0
	"2020"	"2020"	"63 years"	"63"	140	6462	2166.5
	"2020"	"2020"	"64 years"	"64"	127	6321	2009.2
	"2020"	"2020"	"65 years"	"65"	118	6182	1908.8
	"2020"	"2020"	"66 years"	"66"	145	6124	2367.7
	"2020"	"2020"	"67 years"	"67"	162	5682	2851.1
	"2020"	"2020"	"68 years"	"68"	126	5346	2356.9
	"2020"	"2020"	"69 years"	"69"	143	5291	2702.7
	"2020"	"2020"	"70 years"	"70"	138	5157	2676.0
	"2020"	"2020"	"71 years"	"71"	114	4918	2318.0
	"2020"	"2020"	"72 years"	"72"	146	4720	3093.2
	"2020"	"2020"	"73 years"	"73"	136	4595	2959.7
	"2020"	"2020"	"74 years"	"74"	109	3542	3077.4
	"2020"	"2020"	"75 years"	"75"	110	3519	3125.9
	"2020"	"2020"	"76 years"	"76"	134	3351	3998.8
	"2020"	"2020"	"77 years"	"77"	117	3205	3650.5
	"2020"	"2020"	"78 years"	"78"	135	2963	4556.2
	"2020"	"2020"	"79 years"	"79"	126	2539	4962.6
	"2020"	"2020"	"80 years"	"80"	118	2483	4752.3
	"2020"	"2020"	"81 years"	"81"	106	2215	4785.6
	"2020"	"2020"	"82 years"	"82"	97	2091	4638.9
	"2020"	"2020"	"83 years"	"83"	109	1919	5680.0
	"2020"	"2020"	"84 years"	"84"	118	1701	6937.1
	"2020"	"2020"	"85 years"	"85"	104	Not Applicable	Not Applicable
	"2020"	"2020"	"86 years"	"86"	129	Not Applicable	Not Applicable
	"2020"	"2020"	"87 years"	"87"	136	Not Applicable	Not Applicable
	"2020"	"2020"	"88 years"	"88"	122	Not Applicable	Not Applicable
	"2020"	"2020"	"89 years"	"89"	122	Not Applicable	Not Applicable
	"2020"	"2020"	"90 years"	"90"	109	Not Applicable	Not Applicable
	"2020"	"2020"	"91 years"	"91"	123	Not Applicable	Not Applicable
	"2020"	"2020"	"92 years"	"92"	122	Not Applicable	Not Applicable
	"2020"	"2020"	"93 years"	"93"	108	Not Applicable	Not Applicable
	"2020"	"2020"	"94 years"	"94"	80	Not Applicable	Not Applicable
	"2020"	"2020"	"95 years"	"95"	70	Not Applicable	Not Applicable
	"2020"	"2020"	"96 years"	"96"	85	Not Applicable	Not Applicable
	"2020"	"2020"	"97 years"	"97"	60	Not Applicable	Not Applicable
	"2020"	"2020"	"98 years"	"98"	56	Not Applicable	Not Applicable
