"Notes","Residence State","Residence State Code","Year","Year Code",Deaths,Population,Crude Rate
,"Michigan","26","2022 (provisional)","2022",110460,10050811,1099.0
,"Michigan","26","2023 (provisional and partial)","2023",32608,10050811,324.4
"Total","Michigan","26",,,575943,60101760,958.3
,"Minnesota","27","2018","2018",44745,5611179,797.4
,"Minnesota","27","2019","2019",45514,5639632,807.0
,"Minnesota","27","2020","2020",52372,5657342,925.7
,"Minnesota","27","2021","2021",51640,5707390,904.8
,"Minnesota","27","2022 (provisional)","2022",51211,5707390,897.3
,"Minnesota","27","2023 (provisional and partial)","2023",15035,5707390,263.4
"Total","Minnesota","27",,,260517,34030323,765.5
,"Mississippi","28","2018","2018",32301,2986530,1081.6
,"Mississippi","28","2019","2019",32964,2976149,1107.6
,"Mississippi","28","2020","2020",40190,2966786,1354.7
,"Mississippi","28","2021","2021",41085,2949965,1392.7
,"Mississippi","28","2022 (provisional)","2022",37793,2949965,1281.1
,"Mississippi","28","2023 (provisional and partial)","2023",10502,2949965,356.0
"Total","Mississippi","28",,,194835,17779360,1095.8
,"Missouri","29","2018","2018",63117,6126452,1030.2
,"Missouri","29","2019","2019",62401,6137428,1016.7
,"Missouri","29","2020","2020",73887,6151548,1201.1
,"Missouri","29","2021","2021",73847,6168187,1197.2
,"Missouri","29","2022 (provisional)","2022",71773,6168187,1163.6
,"Missouri","29","2023 (provisional and partial)","2023",20090,6168187,325.7
"Total","Missouri","29",,,365115,36919989,988.9
,"Montana","30","2018","2018",9992,1062305,940.6
,"Montana","30","2019","2019",10402,1068778,973.3
,"Montana","30","2020","2020",12027,1080577,1113.0
,"Montana","30","2021","2021",12707,1104271,1150.7
,"Montana","30","2022 (provisional)","2022",11684,1104271,1058.1
,"Montana","30","2023 (provisional and partial)","2023",3528,1104271,319.5
"Total","Montana","30",,,60340,6524473,924.8
,"Nebraska","31","2018","2018",16904,1929268,876.2
,"Nebraska","31","2019","2019",16970,1934408,877.3
,"Nebraska","31","2020","2020",19549,1937552,1009.0
,"Nebraska","31","2021","2021",18925,1963692,963.7
,"Nebraska","31","2022 (provisional)","2022",18609,1963692,947.7
,"Nebraska","31","2023 (provisional and partial)","2023",5548,1963692,282.5
"Total","Nebraska","31",,,96505,11692304,825.4
,"Nevada","32","2018","2018",24715,3034392,814.5
,"Nevada","32","2019","2019",25586,3080156,830.7
,"Nevada","32","2020","2020",30618,3138259,975.6
,"Nevada","32","2021","2021",32923,3143991,1047.2
,"Nevada","32","2022 (provisional)","2022",30956,3143991,984.6
,"Nevada","32","2023 (provisional and partial)","2023",8911,3143991,283.4
"Total","Nevada","32",,,153709,18684780,822.6
,"New Hampshire","33","2018","2018",12774,1356458,941.7
,"New Hampshire","33","2019","2019",12744,1359711,937.3
,"New Hampshire","33","2020","2020",13700,1366275,1002.7
,"New Hampshire","33","2021","2021",14198,1388992,1022.2
,"New Hampshire","33","2022 (provisional)","2022",14513,1388992,1044.9
,"New Hampshire","33","2023 (provisional and partial)","2023",4509,1388992,324.6
"Total","New Hampshire","33",,,72438,8249420,878.1
,"New Jersey","34","2018","2018",75765,8908520,850.5
,"New Jersey","34","2019","2019",75010,8882190,844.5
,"New Jersey","34","2020","2020",96003,8882371,1080.8
,"New Jersey","34","2021","2021",84032,9267130,906.8
,"New Jersey","34","2022 (provisional)","2022",81428,9267130,878.7
,"New Jersey","34","2023 (provisional and partial)","2023",23963,9267130,258.6
"Total","New Jersey","34",,,436201,54474471,800.7
,"New Mexico","35","2018","2018",19007,2095428,907.1
,"New Mexico","35","2019","2019",19512,2096829,930.5
,"New Mexico","35","2020","2020",23807,2106319,1130.3
,"New Mexico","35","2021","2021",25300,2115877,1195.7
,"New Mexico","35","2022 (provisional)","2022",23572,2115877,1114.1
,"New Mexico","35","2023 (provisional and partial)","2023",6583,2115877,311.1
"Total","New Mexico","35",,,117781,12646207,931.4
,"New York","36","2018","2018",157183,19542209,804.3
,"New York","36","2019","2019",156375,19453561,803.8
,"New York","36","2020","2020",203341,19336776,1051.6
,"New York","36","2021","2021",181360,19835913,914.3
,"New York","36","2022 (provisional)","2022",173926,19835913,876.8
,"New York","36","2023 (provisional and partial)","2023",51971,19835913,262.0
"Total","New York","36",,,924156,117840285,784.2
,"North Carolina","37","2018","2018",93885,10383620,904.2
,"North Carolina","37","2019","2019",95881,10488084,914.2
,"North Carolina","37","2020","2020",109449,10600823,1032.5
,"North Carolina","37","2021","2021",118093,10551162,1119.2
,"North Carolina","37","2022 (provisional)","2022",110834,10551162,1050.4
,"North Carolina","37","2023 (provisional and partial)","2023",33358,10551162,316.2
"Total","North Carolina","37",,,561500,63126013,889.5
,"North Dakota","38","2018","2018",6445,760077,847.9
,"North Dakota","38","2019","2019",6702,762062,879.5
,"North Dakota","38","2020","2020",8052,765309,1052.1
,"North Dakota","38","2021","2021",7266,774948,937.6
,"North Dakota","38","2022 (provisional)","2022",7038,774948,908.2
,"North Dakota","38","2023 (provisional and partial)","2023",2083,774948,268.8
"Total","North Dakota","38",,,37586,4612292,814.9
,"Ohio","39","2018","2018",124264,11689442,1063.0
,"Ohio","39","2019","2019",123717,11689100,1058.4
,"Ohio","39","2020","2020",143700,11693217,1228.9
,"Ohio","39","2021","2021",147635,11780017,1253.3
,"Ohio","39","2022 (provisional)","2022",138174,11780017,1173.0
,"Ohio","39","2023 (provisional and partial)","2023",39519,11780017,335.5
"Total","Ohio","39",,,717009,70411810,1018.3
,"Oklahoma","40","2018","2018",40933,3943079,1038.1
,"Oklahoma","40","2019","2019",40930,3956971,1034.4
,"Oklahoma","40","2020","2020",47809,3980783,1201.0
,"Oklahoma","40","2021","2021",50945,3986639,1277.9
,"Oklahoma","40","2022 (provisional)","2022",47935,3986639,1202.4
,"Oklahoma","40","2023 (provisional and partial)","2023",13431,3986639,336.9
"Total","Oklahoma","40",,,241983,23840750,1015.0
,"Oregon","41","2018","2018",36187,4190713,863.5
,"Oregon","41","2019","2019",37370,4217737,886.0
,"Oregon","41","2020","2020",40220,4241507,948.2
,"Oregon","41","2021","2021",44989,4246155,1059.5
,"Oregon","41","2022 (provisional)","2022",44509,4246155,1048.2
,"Oregon","41","2023 (provisional and partial)","2023",12963,4246155,305.3
"Total","Oregon","41",,,216238,25388422,851.7
,"Pennsylvania","42","2018","2018",134702,12807060,1051.8
,"Pennsylvania","42","2019","2019",133983,12801989,1046.6
,"Pennsylvania","42","2020","2020",155546,12783254,1216.8
,"Pennsylvania","42","2021","2021",155390,12964056,1198.6
,"Pennsylvania","42","2022 (provisional)","2022",147139,12964056,1135.0
,"Pennsylvania","42","2023 (provisional and partial)","2023",43826,12964056,338.1
"Total","Pennsylvania","42",,,770586,77284471,997.1
,"Rhode Island","44","2018","2018",10083,1057315,953.6
,"Rhode Island","44","2019","2019",10256,1059361,968.1
,"Rhode Island","44","2020","2020",11819,1057125,1118.0
,"Rhode Island","44","2021","2021",11243,1095610,1026.2
,"Rhode Island","44","2022 (provisional)","2022",10705,1095610,977.1
,"Rhode Island","44","2023 (provisional and partial)","2023",3353,1095610,306.0
"Total","Rhode Island","44",,,57459,6460631,889.4
,"South Carolina","45","2018","2018",50640,5084127,996.0
,"South Carolina","45","2019","2019",50962,5148714,989.8
,"South Carolina","45","2020","2020",61223,5218040,1173.3
,"South Carolina","45","2021","2021",65422,5190705,1260.4
,"South Carolina","45","2022 (provisional)","2022",60884,5190705,1172.9
,"South Carolina","45","2023 (provisional and partial)","2023",17610,5190705,339.3
"Total","South Carolina","45",,,306741,31022996,988.8
,"South Dakota","46","2018","2018",7971,882235,903.5
,"South Dakota","46","2019","2019",8270,884659,934.8
,"South Dakota","46","2020","2020",9861,892717,1104.6
,"South Dakota","46","2021","2021",9185,895376,1025.8
,"South Dakota","46","2022 (provisional)","2022",9016,895376,1007.0
,"South Dakota","46","2023 (provisional and partial)","2023",2529,895376,282.5
"Total","South Dakota","46",,,46832,5345739,876.1
,"Tennessee","47","2018","2018",71078,6770010,1049.9
,"Tennessee","47","2019","2019",71935,6829174,1053.3
,"Tennessee","47","2020","2020",84205,6886834,1222.7
,"Tennessee","47","2021","2021",91130,6975218,1306.5
,"Tennessee","47","2022 (provisional)","2022",84945,6975218,1217.8
,"Tennessee","47","2023 (provisional and partial)","2023",24520,6975218,351.5
"Total","Tennessee","47",,,427813,41411672,1033.1
,"Texas","48","2018","2018",202211,28701845,704.5
,"Texas","48","2019","2019",203362,28995881,701.3
,"Texas","48","2020","2020",250339,29360759,852.6
,"Texas","48","2021","2021",267651,29527941,906.4
,"Texas","48","2022 (provisional)","2022",241322,29527941,817.3
,"Texas","48","2023 (provisional and partial)","2023",69391,29527941,235.0
"Total","Texas","48",,,1234276,175642308,702.7
,"Utah","49","2018","2018",18354,3161105,580.6
,"Utah","49","2019","2019",18736,3205958,584.4
,"Utah","49","2020","2020",21497,3249879,661.5
,"Utah","49","2021","2021",22569,3337975,676.1
,"Utah","49","2022 (provisional)","2022",21884,3337975,655.6
,"Utah","49","2023 (provisional and partial)","2023",6589,3337975,197.4
"Total","Utah","49",,,109629,19630867,558.5
,"Vermont","50","2018","2018",6027,626299,962.3
,"Vermont","50","2019","2019",5956,623989,954.5
,"Vermont","50","2020","2020",6459,623347,1036.2
,"Vermont","50","2021","2021",6877,645570,1065.3
,"Vermont","50","2022 (provisional)","2022",6969,645570,1079.5
,"Vermont","50","2023 (provisional and partial)","2023",2185,645570,338.5
"Total","Vermont","50",,,34473,3810345,904.7
,"Virginia","51","2018","2018",69359,8517685,814.3
,"Virginia","51","2019","2019",70325,8535519,823.9
,"Virginia","51","2020","2020",80596,8590563,938.2
,"Virginia","51","2021","2021",85940,8642274,994.4
,"Virginia","51","2022 (provisional)","2022",82890,8642274,959.1
,"Virginia","51","2023 (provisional and partial)","2023",24472,8642274,283.2
"Total","Virginia","51",,,413582,51570589,802.0
,"Washington","53","2018","2018",56877,7535591,754.8
,"Washington","53","2019","2019",58263,7614893,765.1
,"Washington","53","2020","2020",63146,7693612,820.8
,"Washington","53","2021","2021",68689,7738692,887.6
,"Washington","53","2022 (provisional)","2022",69151,7738692,893.6
,"Washington","53","2023 (provisional and partial)","2023",20718,7738692,267.7
"Total","Washington","53",,,336844,46060172,731.3
,"West Virginia","54","2018","2018",23478,1805832,1300.1
,"West Virginia","54","2019","2019",23404,1792147,1305.9
,"West Virginia","54","2020","2020",26106,1784787,1462.7
,"West Virginia","54","2021","2021",29503,1782959,1654.7
,"West Virginia","54","2022 (provisional)","2022",27490,1782959,1541.8
,"West Virginia","54","2023 (provisional and partial)","2023",7959,1782959,446.4
"Total","West Virginia","54",,,137940,10731643,1285.4
,"Wisconsin","55","2018","2018",53684,5813568,923.4
,"Wisconsin","55","2019","2019",54189,5822434,930.7
,"Wisconsin","55","2020","2020",62706,5832655,1075.1
,"Wisconsin","55","2021","2021",60973,5895908,1034.2
,"Wisconsin","55","2022 (provisional)","2022",60581,5895908,1027.5
,"Wisconsin","55","2023 (provisional and partial)","2023",17969,5895908,304.8
"Total","Wisconsin","55",,,310102,35156381,882.1
,"Wyoming","56","2018","2018",5070,577737,877.6
,"Wyoming","56","2019","2019",5121,578759,884.8
,"Wyoming","56","2020","2020",5983,582328,1027.4
,"Wyoming","56","2021","2021",6582,578803,1137.2
,"Wyoming","56","2022 (provisional)","2022",5906,578803,1020.4
,"Wyoming","56","2023 (provisional and partial)","2023",1726,578803,298.2
"Total","Wyoming","56",,,30388,3475233,874.4
"Total",,,,,16774671,1980572315,847.0
"---"
"Dataset: Provisional Mortality Statistics, 2018 through Last Month"
"Query Parameters:"
"Group By: Residence State; Year"
"Show Totals: True"
"Show Zero Values: False"
"Show Suppressed: False"
"Calculate Rates Per: 100,000"
"Rate Options: Default intercensal populations for years 2001-2009 (except Infant Age Groups)"
"---"
"Help: See http://wonder.cdc.gov/wonder/help/mcd-provisional.html for more information."
"---"
"Query Date: May 20, 2023 5:48:16 PM"
"---"
"Suggested Citation: Centers for Disease Control and Prevention, National Center for Health Statistics. National Vital Statistics"
"System, Provisional Mortality on CDC WONDER Online Database. Data are from the final Multiple Cause of Death Files, 2018-2021,"
"and from provisional data for years 2022-2023, as compiled from data provided by the 57 vital statistics jurisdictions through"
"the Vital Statistics Cooperative Program. Accessed at http://wonder.cdc.gov/mcd-icd10-provisional.html on May 20, 2023 5:48:16"
"PM"
"---"
Caveats:
"1. The population figures for years 2021 and later are single-race estimates of the July 1 resident population, from the Vintage"
"2021 postcensal series based on the April 2020 Census counts, released by the Census Bureau on June 30, 2022. The population"
"figures for year 2020 are single-race estimates of the July 1 resident population, from the Vintage 2020 postcensal series based"
"on April 2010 Census, released by the Census Bureau on July 27, 2021. The population figures for year 2019 are single-race"
"estimates of the July 1 resident population, from the Vintage 2019 postcensal series based on April 2010 Census, released by the"
"Census Bureau on June 25, 2020. The population figures for year 2018 are single-race estimates of the July 1 resident"
"population, from the Vintage 2018 postcensal series based on April 2010 Census, released by the Census Bureau on June 20, 2019."
"2. The population figures used in the calculation of death rates for the age group 'under 1 year' are the estimates of the"
"resident population that is under one year of age. More information: http://wonder.cdc.gov/wonder/help/mcd-provisional.html#Age"
"Group."
"3. Deaths occurring through April 22, 2023 as of May 07, 2023."
