"Notes"	"Month"	"Month Code"	Deaths	Population	Crude Rate
	"Mar., 2015"	"2015/03"	9601	Not Applicable	Not Applicable
	"Apr., 2015"	"2015/04"	8959	Not Applicable	Not Applicable
	"May, 2015"	"2015/05"	9239	Not Applicable	Not Applicable
	"Jun., 2015"	"2015/06"	8891	Not Applicable	Not Applicable
	"Jul., 2015"	"2015/07"	9133	Not Applicable	Not Applicable
	"Aug., 2015"	"2015/08"	9158	Not Applicable	Not Applicable
	"Sep., 2015"	"2015/09"	9001	Not Applicable	Not Applicable
	"Oct., 2015"	"2015/10"	9007	Not Applicable	Not Applicable
	"Nov., 2015"	"2015/11"	8782	Not Applicable	Not Applicable
	"Dec., 2015"	"2015/12"	9298	Not Applicable	Not Applicable
	"Jan., 2016"	"2016/01"	9404	Not Applicable	Not Applicable
	"Feb., 2016"	"2016/02"	8946	Not Applicable	Not Applicable
	"Mar., 2016"	"2016/03"	9715	Not Applicable	Not Applicable
	"Apr., 2016"	"2016/04"	8980	Not Applicable	Not Applicable
	"May, 2016"	"2016/05"	8846	Not Applicable	Not Applicable
	"Jun., 2016"	"2016/06"	8663	Not Applicable	Not Applicable
	"Jul., 2016"	"2016/07"	8953	Not Applicable	Not Applicable
	"Aug., 2016"	"2016/08"	8753	Not Applicable	Not Applicable
	"Sep., 2016"	"2016/09"	8591	Not Applicable	Not Applicable
	"Oct., 2016"	"2016/10"	9049	Not Applicable	Not Applicable
	"Nov., 2016"	"2016/11"	8751	Not Applicable	Not Applicable
	"Dec., 2016"	"2016/12"	9280	Not Applicable	Not Applicable
	"Jan., 2017"	"2017/01"	9485	Not Applicable	Not Applicable
	"Feb., 2017"	"2017/02"	8474	Not Applicable	Not Applicable
	"Mar., 2017"	"2017/03"	9236	Not Applicable	Not Applicable
	"Apr., 2017"	"2017/04"	8699	Not Applicable	Not Applicable
	"May, 2017"	"2017/05"	8822	Not Applicable	Not Applicable
	"Jun., 2017"	"2017/06"	8317	Not Applicable	Not Applicable
	"Jul., 2017"	"2017/07"	8477	Not Applicable	Not Applicable
	"Aug., 2017"	"2017/08"	8543	Not Applicable	Not Applicable
	"Sep., 2017"	"2017/09"	8381	Not Applicable	Not Applicable
	"Oct., 2017"	"2017/10"	8606	Not Applicable	Not Applicable
	"Nov., 2017"	"2017/11"	8190	Not Applicable	Not Applicable
	"Dec., 2017"	"2017/12"	9214	Not Applicable	Not Applicable
	"Jan., 2018"	"2018/01"	9636	Not Applicable	Not Applicable
	"Feb., 2018"	"2018/02"	8132	Not Applicable	Not Applicable
	"Mar., 2018"	"2018/03"	8728	Not Applicable	Not Applicable
	"Apr., 2018"	"2018/04"	8108	Not Applicable	Not Applicable
	"May, 2018"	"2018/05"	8245	Not Applicable	Not Applicable
	"Jun., 2018"	"2018/06"	8054	Not Applicable	Not Applicable
	"Jul., 2018"	"2018/07"	8360	Not Applicable	Not Applicable
	"Aug., 2018"	"2018/08"	8153	Not Applicable	Not Applicable
	"Sep., 2018"	"2018/09"	7911	Not Applicable	Not Applicable
	"Oct., 2018"	"2018/10"	8178	Not Applicable	Not Applicable
	"Nov., 2018"	"2018/11"	7935	Not Applicable	Not Applicable
	"Dec., 2018"	"2018/12"	8524	Not Applicable	Not Applicable
	"Jan., 2019"	"2019/01"	8748	Not Applicable	Not Applicable
	"Feb., 2019"	"2019/02"	7738	Not Applicable	Not Applicable
	"Mar., 2019"	"2019/03"	8511	Not Applicable	Not Applicable
	"Apr., 2019"	"2019/04"	7949	Not Applicable	Not Applicable
	"May, 2019"	"2019/05"	8189	Not Applicable	Not Applicable
	"Jun., 2019"	"2019/06"	7727	Not Applicable	Not Applicable
	"Jul., 2019"	"2019/07"	8226	Not Applicable	Not Applicable
	"Aug., 2019"	"2019/08"	7808	Not Applicable	Not Applicable
	"Sep., 2019"	"2019/09"	7536	Not Applicable	Not Applicable
	"Oct., 2019"	"2019/10"	7999	Not Applicable	Not Applicable
	"Nov., 2019"	"2019/11"	7848	Not Applicable	Not Applicable
	"Dec., 2019"	"2019/12"	8375	Not Applicable	Not Applicable
	"Jan., 2020 "	"2020/01"	8684	Not Applicable	Not Applicable
	"Feb., 2020 "	"2020/02"	8075	Not Applicable	Not Applicable
	"Mar., 2020 "	"2020/03"	8814	Not Applicable	Not Applicable
	"Apr., 2020 "	"2020/04"	10410	Not Applicable	Not Applicable
	"May, 2020 "	"2020/05"	9822	Not Applicable	Not Applicable
	"Jun., 2020 "	"2020/06"	9349	Not Applicable	Not Applicable
	"Jul., 2020 "	"2020/07"	10168	Not Applicable	Not Applicable
	"Aug., 2020 "	"2020/08"	9897	Not Applicable	Not Applicable
	"Sep., 2020 "	"2020/09"	9017	Not Applicable	Not Applicable
	"Oct., 2020 "	"2020/10"	9213	Not Applicable	Not Applicable
	"Nov., 2020 "	"2020/11"	9623	Not Applicable	Not Applicable
	"Dec., 2020 "	"2020/12"	11639	Not Applicable	Not Applicable
"Total"			2288394	Not Applicable	Not Applicable
"---"
