"Notes","Month","Month Code",Deaths,Population,Crude Rate
,"Mar., 2016","2016/03",913,Not Applicable,Not Applicable
,"Apr., 2016","2016/04",834,Not Applicable,Not Applicable
,"May, 2016","2016/05",964,Not Applicable,Not Applicable
,"Jun., 2016","2016/06",962,Not Applicable,Not Applicable
,"Jul., 2016","2016/07",947,Not Applicable,Not Applicable
,"Aug., 2016","2016/08",935,Not Applicable,Not Applicable
,"Sep., 2016","2016/09",810,Not Applicable,Not Applicable
,"Oct., 2016","2016/10",943,Not Applicable,Not Applicable
,"Nov., 2016","2016/11",959,Not Applicable,Not Applicable
,"Dec., 2016","2016/12",897,Not Applicable,Not Applicable
,"Jan., 2017","2017/01",899,Not Applicable,Not Applicable
,"Feb., 2017","2017/02",750,Not Applicable,Not Applicable
,"Mar., 2017","2017/03",898,Not Applicable,Not Applicable
,"Apr., 2017","2017/04",877,Not Applicable,Not Applicable
,"May, 2017","2017/05",986,Not Applicable,Not Applicable
,"Jun., 2017","2017/06",986,Not Applicable,Not Applicable
,"Jul., 2017","2017/07",962,Not Applicable,Not Applicable
,"Aug., 2017","2017/08",960,Not Applicable,Not Applicable
,"Sep., 2017","2017/09",849,Not Applicable,Not Applicable
,"Oct., 2017","2017/10",930,Not Applicable,Not Applicable
,"Nov., 2017","2017/11",876,Not Applicable,Not Applicable
,"Dec., 2017","2017/12",913,Not Applicable,Not Applicable
,"Jan., 2018","2018/01",905,Not Applicable,Not Applicable
,"Feb., 2018","2018/02",805,Not Applicable,Not Applicable
,"Mar., 2018","2018/03",831,Not Applicable,Not Applicable
,"Apr., 2018","2018/04",803,Not Applicable,Not Applicable
,"May, 2018","2018/05",935,Not Applicable,Not Applicable
,"Jun., 2018","2018/06",922,Not Applicable,Not Applicable
,"Jul., 2018","2018/07",943,Not Applicable,Not Applicable
,"Aug., 2018","2018/08",831,Not Applicable,Not Applicable
,"Sep., 2018","2018/09",884,Not Applicable,Not Applicable
,"Oct., 2018","2018/10",878,Not Applicable,Not Applicable
