"Notes"	"Year"	"Year Code"	"Single-Year Ages"	"Single-Year Ages Code"	Deaths	Population	Crude Rate
	"2001"	"2001"	"48 years"	"48"	454	121270	374.4
	"2001"	"2001"	"49 years"	"49"	490	116959	419.0
	"2001"	"2001"	"50 years"	"50"	493	114876	429.2
	"2001"	"2001"	"51 years"	"51"	476	115599	411.8
	"2001"	"2001"	"52 years"	"52"	512	110479	463.4
	"2001"	"2001"	"53 years"	"53"	593	112748	526.0
	"2001"	"2001"	"54 years"	"54"	652	119888	543.8
	"2001"	"2001"	"55 years"	"55"	537	90407	594.0
	"2001"	"2001"	"56 years"	"56"	569	87814	648.0
	"2001"	"2001"	"57 years"	"57"	631	86892	726.2
	"2001"	"2001"	"58 years"	"58"	719	93588	768.3
	"2001"	"2001"	"59 years"	"59"	696	80089	869.0
	"2001"	"2001"	"60 years"	"60"	690	72176	956.0
	"2001"	"2001"	"61 years"	"61"	716	71189	1005.8
	"2001"	"2001"	"62 years"	"62"	770	67030	1148.7
	"2001"	"2001"	"63 years"	"63"	814	66142	1230.7
	"2001"	"2001"	"64 years"	"64"	921	61852	1489.0
	"2001"	"2001"	"65 years"	"65"	902	60096	1500.9
	"2001"	"2001"	"66 years"	"66"	887	59618	1487.8
	"2001"	"2001"	"67 years"	"67"	971	56027	1733.1
	"2001"	"2001"	"68 years"	"68"	1114	56803	1961.2
	"2001"	"2001"	"69 years"	"69"	1194	57076	2091.9
	"2001"	"2001"	"70 years"	"70"	1310	56747	2308.5
	"2001"	"2001"	"71 years"	"71"	1410	57937	2433.7
	"2001"	"2001"	"72 years"	"72"	1561	54899	2843.4
	"2001"	"2001"	"73 years"	"73"	1726	55048	3135.4
	"2001"	"2001"	"74 years"	"74"	1809	53508	3380.8
	"2001"	"2001"	"75 years"	"75"	1894	51089	3707.3
	"2001"	"2001"	"76 years"	"76"	2045	50876	4019.6
	"2001"	"2001"	"77 years"	"77"	2071	48408	4278.2
	"2001"	"2001"	"78 years"	"78"	2139	45437	4707.6
	"2001"	"2001"	"79 years"	"79"	2301	43264	5318.5
	"2001"	"2001"	"80 years"	"80"	2495	41553	6004.4
	"2001"	"2001"	"81 years"	"81"	2391	38139	6269.2
	"2001"	"2001"	"82 years"	"82"	2309	31897	7238.9
	"2001"	"2001"	"83 years"	"83"	2453	30823	7958.3
	"2001"	"2001"	"84 years"	"84"	2368	26652	8884.9
	"2001"	"2001"	"85 years"	"85"	2328	Not Applicable	Not Applicable
	"2001"	"2001"	"86 years"	"86"	2317	Not Applicable	Not Applicable
	"2001"	"2001"	"87 years"	"87"	2191	Not Applicable	Not Applicable
	"2001"	"2001"	"88 years"	"88"	2165	Not Applicable	Not Applicable
	"2001"	"2001"	"89 years"	"89"	1959	Not Applicable	Not Applicable
	"2001"	"2001"	"90 years"	"90"	1822	Not Applicable	Not Applicable
	"2001"	"2001"	"91 years"	"91"	1678	Not Applicable	Not Applicable
	"2001"	"2001"	"92 years"	"92"	1407	Not Applicable	Not Applicable
	"2001"	"2001"	"93 years"	"93"	1305	Not Applicable	Not Applicable
	"2001"	"2001"	"94 years"	"94"	1015	Not Applicable	Not Applicable
	"2001"	"2001"	"95 years"	"95"	851	Not Applicable	Not Applicable
	"2001"	"2001"	"96 years"	"96"	667	Not Applicable	Not Applicable
	"2001"	"2001"	"97 years"	"97"	515	Not Applicable	Not Applicable
	"2001"	"2001"	"98 years"	"98"	383	Not Applicable	Not Applicable
	"2001"	"2001"	"99 years"	"99"	297	Not Applicable	Not Applicable
	"2001"	"2001"	"100+ years"	"100"	558	Not Applicable	Not Applicable
	"2001"	"2001"	"Not Stated"	"NS"	16	Not Applicable	Not Applicable
	"2002"	"2002"	"< 1 year"	"0"	655	112527	582.1
	"2002"	"2002"	"1 year"	"1"	42	112210	37.4
	"2002"	"2002"	"2 years"	"2"	24	113039	21.2
	"2002"	"2002"	"3 years"	"3"	24	111963	21.4
	"2002"	"2002"	"4 years"	"4"	16	113039	Unreliable
	"2002"	"2002"	"5 years"	"5"	23	114583	20.1
	"2002"	"2002"	"6 years"	"6"	16	116853	Unreliable
	"2002"	"2002"	"7 years"	"7"	13	118033	Unreliable
	"2002"	"2002"	"8 years"	"8"	Suppressed	119078	Suppressed
	"2002"	"2002"	"9 years"	"9"	15	121443	Unreliable
	"2002"	"2002"	"10 years"	"10"	14	123390	Unreliable
	"2002"	"2002"	"11 years"	"11"	18	125396	Unreliable
	"2002"	"2002"	"12 years"	"12"	19	128050	Unreliable
	"2002"	"2002"	"13 years"	"13"	27	123403	21.9
	"2002"	"2002"	"14 years"	"14"	22	119227	18.5
	"2002"	"2002"	"15 years"	"15"	26	115849	22.4
	"2002"	"2002"	"16 years"	"16"	31	115036	26.9
	"2002"	"2002"	"17 years"	"17"	63	113472	55.5
	"2002"	"2002"	"18 years"	"18"	74	104600	70.7
	"2002"	"2002"	"19 years"	"19"	70	97563	71.7
	"2002"	"2002"	"20 years"	"20"	91	97029	93.8
	"2002"	"2002"	"21 years"	"21"	72	97805	73.6
	"2002"	"2002"	"22 years"	"22"	88	100990	87.1
	"2002"	"2002"	"23 years"	"23"	79	99419	79.5
	"2002"	"2002"	"24 years"	"24"	96	100831	95.2
	"2002"	"2002"	"25 years"	"25"	73	104168	70.1
	"2002"	"2002"	"26 years"	"26"	100	102435	97.6
	"2002"	"2002"	"27 years"	"27"	74	104573	70.8
	"2002"	"2002"	"28 years"	"28"	97	104723	92.6
	"2002"	"2002"	"29 years"	"29"	96	108808	88.2
	"2002"	"2002"	"30 years"	"30"	108	116353	92.8
	"2002"	"2002"	"31 years"	"31"	110	125347	87.8
	"2002"	"2002"	"32 years"	"32"	124	131802	94.1
	"2002"	"2002"	"33 years"	"33"	130	126133	103.1
	"2002"	"2002"	"34 years"	"34"	146	127324	114.7
	"2002"	"2002"	"35 years"	"35"	139	131116	106.0
	"2002"	"2002"	"36 years"	"36"	174	136590	127.4
	"2002"	"2002"	"37 years"	"37"	204	144883	140.8
	"2002"	"2002"	"38 years"	"38"	240	146177	164.2
	"2002"	"2002"	"39 years"	"39"	247	144991	170.4
	"2002"	"2002"	"40 years"	"40"	285	145170	196.3
	"2002"	"2002"	"41 years"	"41"	299	146310	204.4
	"2002"	"2002"	"42 years"	"42"	309	149468	206.7
	"2002"	"2002"	"43 years"	"43"	363	143896	252.3
	"2002"	"2002"	"44 years"	"44"	342	141679	241.4
	"2002"	"2002"	"45 years"	"45"	383	139012	275.5
	"2002"	"2002"	"46 years"	"46"	398	133042	299.2
